"group_members","recommendations"
"[6411, 715, 1947, 7891]","[36218, 3076, 822, 70323, 173346, 478, 148228, 120677, 129622, 2651]"
"[7272, 2581, 1602, 2015]","[822, 3076, 2651, 36218, 120677, 148228, 173346, 478, 163412, 70323]"
"[2368, 1396, 3237, 460]","[3076, 822, 36218, 120677, 169786, 31260, 70323, 108687, 143884, 68448]"
"[6377, 3848, 4944, 6547]","[822, 3076, 36218, 2651, 31260, 173346, 148228, 120677, 163412, 68448]"
"[4526, 4484, 3751, 6411]","[822, 3076, 120677, 2651, 70323, 143884, 163412, 173346, 108687, 478]"
"[6614, 2436, 5111, 3418]","[70323, 36218, 178900, 129622, 156129, 62871, 39856, 188834, 478, 225694]"
"[2950, 6860, 4889, 1281]","[822, 3076, 36218, 148228, 126163, 2651, 230802, 110327, 34635, 120677]"
"[7881, 951, 2335, 384]","[822, 3076, 143884, 2651, 173346, 70323, 120677, 163412, 36218, 148228]"
"[2436, 2913, 6345, 5603]","[822, 204583, 163412, 126163, 173346, 3076, 244992, 102794, 70323, 148228]"
"[2307, 4021, 3299, 5819]","[3076, 70323, 169786, 120677, 36218, 156129, 199792, 285774, 143884, 173346]"
"[5163, 3471, 500, 2634]","[822, 3076, 230802, 163412, 70323, 173346, 148228, 126163, 2651, 39856]"
"[1012, 2864, 1396, 971]","[36218, 3076, 120677, 822, 68448, 169786, 148228, 478, 70323, 129622]"
"[3675, 1659, 5738, 1512]","[822, 36218, 3076, 31260, 126163, 68448, 120677, 148228, 169786, 147020]"
"[1281, 7145, 5762, 4484]","[822, 3076, 2651, 120677, 31260, 13, 108687, 143884, 36218, 163412]"
"[3576, 2930, 7145, 3423]","[70323, 36218, 822, 3076, 148228, 178900, 126163, 173346, 478, 230802]"
"[7255, 3234, 6763, 7547]","[822, 3076, 2651, 120677, 108687, 478, 13, 143884, 40692, 163412]"
"[3426, 4580, 1855, 1317]","[178900, 822, 129622, 39856, 478, 70323, 36218, 230802, 225694, 173346]"
"[6386, 7858, 6345, 3548]","[36218, 3076, 822, 68448, 148228, 173346, 120677, 54043, 31260, 2651]"
"[6614, 4413, 688, 3016]","[822, 36218, 3076, 148228, 173346, 230802, 126163, 478, 2651, 54043]"
