group_members,recommendations
"[4389, 10429, 13499, 10341]",[]
"[1941, 7163, 3003, 6815]",[]
"[1361, 3642, 91, 12630]",[]
"[2999, 387, 6238, 7328]",[]
"[736, 1937, 6039, 12425]",[]
"[1083, 13288, 2483, 2362]",[]
"[10713, 13503, 13151, 14309]",[]
"[10646, 6037, 5914, 12107]",[]
"[2458, 490, 667, 12864]",[]
"[7903, 14267, 4722, 188]",[]
"[13037, 8414, 578, 3381]",[]
"[5623, 11741, 785, 7792]",[]
"[10961, 6729, 1301, 2729]",[]
"[1272, 11706, 6861, 295]",[]
"[9668, 6049, 2915, 10527]",[]
"[9074, 1256, 11113, 405]",[]
"[6976, 1461, 9773, 319]",[]
"[5252, 3532, 11874, 9519]",[]
"[13726, 13499, 12415, 14046]",[]
"[2712, 14298, 5248, 3658]",[]
"[8725, 1200, 2492, 2215]",[]
"[8150, 5840, 6609, 11457]",[]
"[11583, 10953, 10847, 12446]",[]
"[8674, 827, 2003, 3096]",[]
"[135, 3813, 5758, 14706]",[]
"[14415, 1166, 12600, 14589]",[]
"[2609, 9773, 6238, 187]",[]
"[5126, 12773, 8536, 2425]",[]
"[10722, 11324, 11162, 11486]",[]
"[5614, 1180, 9363, 12729]",[]
"[6799, 6927, 11157, 7653]",[]
"[4282, 4034, 14391, 9374]",[]
"[10526, 12353, 6540, 1695]",[]
"[8152, 1309, 3764, 8496]",[]
"[10289, 126, 83, 5426]",[]
"[8401, 2070, 4128, 3686]",[]
"[5782, 3143, 11131, 4225]",[]
"[10609, 3970, 14070, 12487]",[]
"[8953, 6468, 8919, 1457]",[]
"[1226, 404, 8837, 6786]",[]
"[3615, 4931, 5752, 2506]",[]
"[7792, 13654, 1735, 13110]",[]
"[128, 3361, 659, 7690]",[]
"[3372, 10056, 5624, 3992]",[]
"[10668, 12888, 12893, 10149]",[]
"[11154, 2040, 8271, 3422]",[]
"[13151, 1972, 13018, 14516]",[]
"[2474, 7298, 2343, 141]",[]
"[12396, 1512, 6380, 1284]",[]
"[2359, 1613, 2050, 263]",[]
"[1319, 7803, 8431, 422]",[]
"[666, 10495, 7527, 8817]",[]
"[7944, 7454, 915, 10860]",[]
"[4134, 10100, 2144, 8984]",[]
"[514, 2287, 3588, 3806]",[]
"[3180, 1317, 10255, 1770]",[]
"[10172, 5487, 3664, 2263]",[]
"[6968, 3575, 6171, 12782]",[]
"[45, 4530, 8363, 11798]",[]
"[5666, 4386, 932, 11449]",[]
"[8348, 3518, 7737, 3746]",[]
"[7542, 1563, 14089, 13203]",[]
"[9891, 1105, 5591, 13027]",[]
"[7527, 4259, 10668, 5994]",[]
"[8667, 11352, 538, 9386]",[]
"[11244, 521, 2141, 7740]",[]
"[6013, 3491, 8462, 3184]",[]
"[11271, 13060, 2287, 10668]",[]
"[12738, 456, 6077, 10292]",[]
"[8277, 2760, 6826, 13291]",[]
"[1096, 3534, 6407, 5252]",[]
"[1172, 11596, 9384, 1566]",[]
"[1625, 1181, 4455, 3619]",[]
"[6634, 8318, 6128, 2868]",[]
"[379, 5342, 6901, 7661]",[]
"[11140, 3572, 12259, 1557]",[]
"[2425, 1595, 5287, 13494]",[]
"[5130, 9169, 7438, 13499]",[]
"[11869, 5302, 3091, 5708]",[]
"[6505, 6814, 1812, 922]",[]
"[14528, 1093, 7918, 10172]",[]
"[7501, 3236, 5105, 6437]",[]
"[6037, 8083, 781, 2589]",[]
"[8778, 7626, 13494, 5560]",[]
"[4363, 3023, 2734, 9769]",[]
"[7, 9929, 5716, 6565]",[]
"[14646, 8759, 7317, 3348]",[]
"[2870, 3330, 2299, 9410]",[]
"[4198, 1316, 6222, 4134]",[]
"[8572, 9622, 3732, 3787]",[]
"[5143, 8676, 11706, 4924]",[]
"[1758, 2418, 3398, 3532]",[]
"[2345, 3571, 1064, 3664]",[]
"[10420, 3399, 11735, 838]",[]
"[12738, 8664, 7777, 5914]",[]
"[12546, 7232, 3618, 5939]",[]
"[2890, 1406, 3776, 12384]",[]
"[11078, 4951, 10609, 5649]",[]
"[3096, 11198, 9638, 820]",[]
"[6120, 4079, 5814, 3998]",[]
"[10943, 9316, 5146, 2492]",[]
"[5867, 2268, 2485, 4650]",[]
"[9895, 13399, 9751, 959]",[]
"[8067, 8405, 4164, 2460]",[]
"[167, 2289, 7584, 897]",[]
"[1277, 3260, 521, 10866]",[]
"[11277, 4658, 12546, 10111]",[]
"[13979, 34, 780, 1416]",[]
"[21, 1698, 2270, 3587]",[]
"[4625, 9595, 3401, 1934]",[]
"[12186, 7411, 3088, 12763]",[]
"[7410, 6682, 1984, 3610]",[]
"[14043, 11953, 8145, 10908]",[]
"[2320, 5025, 915, 7689]",[]
"[3840, 3700, 289, 1202]",[]
"[13306, 6291, 8476, 14549]",[]
"[1535, 12170, 6563, 10686]",[]
"[1694, 4206, 13688, 2419]",[]
"[9053, 13027, 8937, 3051]",[]
"[4286, 2634, 2550, 2433]",[]
"[14516, 11324, 3683, 9512]",[]
"[3890, 13708, 2576, 8987]",[]
"[2916, 1874, 5414, 12625]",[]
"[2792, 1512, 1652, 13556]",[]
"[2068, 7297, 1471, 2360]",[]
"[1027, 7909, 5099, 11676]",[]
"[787, 12107, 5649, 9491]",[]
"[13472, 12524, 6591, 14464]",[]
"[3679, 569, 211, 9698]",[]
"[8798, 5752, 2890, 5811]",[]
"[1594, 5263, 3664, 8436]",[]
"[14020, 3973, 1068, 7700]",[]
"[3587, 593, 1082, 3946]",[]
"[7829, 8388, 2590, 7458]",[]
"[10896, 9216, 2374, 10264]",[]
"[10356, 350, 4280, 8923]",[]
"[11466, 7656, 14384, 5101]",[]
"[6066, 10767, 10103, 3569]",[]
"[7875, 2084, 880, 1501]",[]
