group_members,recommendations
"[2817, 439, 6540, 3785]","[40692, 178900, 34635, 102794, 204583, 150376, 199561, 73439, 176494, 205637]"
"[10779, 8012, 6039, 5355]","[178900, 204583, 34635, 40692, 176494, 31481, 199561, 102794, 73439, 122515]"
"[10953, 12259, 14042, 2791]","[204583, 34635, 102794, 176494, 118048, 73439, 199561, 122515, 219513, 125153]"
"[252, 2923, 421, 14528]","[34635, 40692, 178900, 31481, 73439, 122515, 28023, 176494, 1382, 150376]"
"[11986, 7385, 11019, 6929]","[34635, 102794, 40692, 178900, 150376, 199561, 205637, 73439, 125153, 204583]"
"[8778, 3535, 1700, 294]","[178900, 40692, 34635, 204583, 199561, 31481, 176494, 150376, 28023, 73439]"
"[13035, 1469, 12843, 4157]","[199561, 178900, 204583, 34635, 219513, 204027, 176494, 140934, 281259, 102794]"
"[6781, 9052, 7196, 8450]","[178900, 40692, 34635, 150376, 102794, 204583, 205637, 199561, 31481, 73439]"
"[6483, 12739, 5917, 6231]","[178900, 34635, 102794, 40692, 204583, 199561, 73439, 176494, 122515, 118048]"
"[342, 14236, 3581, 8724]","[204583, 199561, 178900, 34635, 40692, 150376, 102794, 219513, 176494, 163967]"
"[10031, 8755, 10969, 1386]","[178900, 199561, 34635, 204583, 40692, 150376, 102794, 205637, 209778, 176494]"
"[5235, 1970, 3508, 8617]","[34635, 40692, 31481, 122515, 73439, 45315, 17133, 53953, 24508, 7805]"
"[1631, 12021, 12895, 8833]","[40692, 178900, 150376, 34635, 31481, 205637, 124708, 171668, 133038, 25292]"
"[2016, 7953, 12211, 11263]","[102794, 205637, 40692, 178900, 125153, 34635, 216132, 73439, 204583, 150376]"
"[8680, 6682, 9693, 13274]","[178900, 40692, 34635, 150376, 102794, 31481, 73439, 205637, 122515, 176494]"
"[11499, 6551, 4730, 13736]","[178900, 40692, 150376, 205637, 102794, 34635, 204583, 31481, 199561, 171668]"
"[11441, 3655, 7823, 11723]","[178900, 150376, 205637, 40692, 124708, 102794, 209778, 204583, 199561, 171668]"
"[4418, 11853, 13991, 1457]","[178900, 204583, 40692, 199561, 150376, 34635, 102794, 205637, 209778, 176494]"
"[690, 13748, 357, 6941]","[178900, 150376, 204583, 205637, 40692, 172225, 171668, 199561, 124708, 31481]"
"[3275, 11677, 9380, 4441]","[40692, 34635, 178900, 102794, 150376, 31481, 73439, 205637, 204583, 122515]"
"[1173, 14634, 11395, 716]","[40692, 34635, 102794, 73439, 31481, 122515, 45315, 178900, 25292, 70149]"
"[694, 8200, 6294, 8079]","[178900, 40692, 34635, 150376, 204583, 199561, 102794, 31481, 176494, 73439]"
"[7490, 6923, 13560, 14298]","[40692, 31481, 34635, 25417, 25292, 105, 17133, 7805, 53953, 73439]"
"[7233, 3480, 8719, 569]","[34635, 102794, 178900, 73439, 40692, 122515, 125153, 31481, 216132, 176494]"
"[12276, 1184, 8227, 868]","[178900, 34635, 204583, 40692, 31481, 140934, 28023, 176494, 199561, 11971]"
"[9541, 8431, 12090, 9778]","[178900, 204583, 40692, 34635, 150376, 199561, 172225, 31481, 176494, 28023]"
"[1658, 4409, 1975, 3035]","[178900, 40692, 34635, 204583, 102794, 150376, 31481, 73439, 176494, 199561]"
"[2221, 14670, 8388, 7746]","[40692, 178900, 34635, 150376, 31481, 204583, 69789, 28023, 53953, 124708]"
"[6537, 3806, 8087, 3604]","[178900, 34635, 102794, 40692, 125153, 199561, 73439, 204583, 150376, 176494]"
"[3787, 798, 5020, 4982]","[178900, 204583, 40692, 199561, 150376, 34635, 172225, 31481, 205637, 209778]"
"[1561, 9711, 13771, 12369]","[40692, 31481, 178900, 34635, 150376, 25292, 73439, 45315, 122515, 28023]"
"[5030, 2744, 11741, 11324]","[178900, 150376, 204583, 40692, 205637, 34635, 199561, 172225, 209778, 102794]"
"[1910, 1821, 7103, 8756]","[199561, 178900, 204583, 34635, 40692, 150376, 163967, 172225, 219513, 31481]"
"[12891, 10646, 1767, 1015]","[204583, 178900, 40692, 34635, 199561, 150376, 31481, 102794, 69789, 205637]"
"[3457, 2465, 419, 8375]","[178900, 40692, 204583, 150376, 102794, 34635, 205637, 199561, 31481, 176494]"
"[5074, 10373, 833, 995]","[40692, 31481, 34635, 178900, 45315, 102794, 53953, 28023, 73439, 204583]"
"[10866, 7258, 3474, 9291]","[34635, 40692, 73439, 122515, 31481, 178900, 102794, 17133, 45315, 176494]"
"[12600, 2214, 10480, 13274]","[34635, 204583, 178900, 40692, 199561, 176494, 102794, 118048, 73439, 122515]"
