BGGId,Rating,Username
327793,7.0,0
327793,6.0,3
327793,6.0,4
214296,8.5,5
214296,8.0,6
214296,8.0,7
214296,7.0,10
214296,7.0,11
193327,6.5,12
193327,6.5,13
193327,6.0,15
193327,6.0,16
193327,6.0,18
193327,6.0,19
193327,5.0,21
193327,5.0,22
157586,3.0,23
168421,7.0,24
168421,7.0,25
168421,6.5,26
168421,6.0,27
168421,6.0,28
168421,6.0,29
168421,6.0,30
168421,5.0,31
168421,4.0,34
168421,3.0,35
168421,1.0,36
107649,5.5,38
107649,5.0,39
107649,5.0,40
107649,5.0,41
157779,7.0,43
157779,6.5,45
157779,6.0,46
157779,5.75,48
157779,3.0,49
157779,2.0,50
128855,5.0,51
128855,5.0,53
128855,5.0,54
128855,5.0,56
128855,3.0,59
157135,5.5,61
157135,5.0,62
157135,5.0,64
157135,5.0,51
192346,6.0,19
192346,6.0,66
192346,6.0,67
192346,5.5,68
192346,5.0,70
192346,5.0,71
192346,5.0,72
192346,4.0,74
109296,6.0,75
109296,6.0,77
109296,6.0,78
109296,5.5,79
109296,5.0,80
109296,5.0,81
109296,5.0,82
192858,6.0,83
192858,5.0,84
192858,1.0,85
128098,5.0,86
128028,5.0,89
128028,4.0,91
128028,4.0,92
128028,3.0,93
128028,3.0,94
128028,3.0,95
128028,3.0,96
128028,1.0,97
128028,1.0,98
119472,3.65,99
123406,6.0,100
123406,6.0,101
123406,6.0,102
123406,6.0,104
123406,5.5,105
123406,5.0,107
123406,5.0,108
123406,3.0,109
123406,3.0,110
123406,1.0,111
122399,5.0,105
122399,4.5,113
122399,4.0,114
122399,4.0,115
1305,6.0,119
1305,6.0,121
1305,5.0,122
1305,5.0,123
1305,2.0,124
1306,4.0,127
1306,3.0,128
1306,3.0,129
1306,1.0,131
121295,1.0,132
117549,4.0,134
159507,3.0,135
213491,6.0,137
213491,6.0,138
213491,5.215,140
213491,5.0,135
213491,5.0,141
213491,5.0,142
213491,4.0,144
117823,5.0,146
117823,4.0,148
159517,6.0,150
159517,6.0,151
159517,6.0,152
159517,6.0,153
159517,5.5,154
159517,4.0,160
124954,5.0,136
124954,5.0,163
124954,5.0,77
124954,5.0,164
124954,5.0,165
124954,4.0,167
124954,3.0,170
124954,3.0,171
195205,4.0,173
195205,3.0,174
195205,2.0,175
195205,1.0,176
195205,1.0,177
153498,6.0,178
153498,6.0,179
153498,6.0,182
153498,5.88,99
153481,6.0,186
153481,6.0,187
153481,6.0,188
716,2.0,190
716,2.0,191
95449,5.0,192
95449,5.0,55
95449,4.0,194
95449,3.0,123
96765,6.0,195
96765,6.0,196
96765,5.0,197
96765,5.0,198
96765,4.0,109
96765,4.0,199
96765,1.0,202
191110,4.5,203
191110,4.0,204
191110,4.0,21
191110,4.0,205
191110,2.0,207
172559,5.0,208
172559,4.0,210
172559,4.0,55
172932,4.0,211
172932,3.0,214
172932,3.0,215
153815,6.5,217
153815,6.0,218
153815,6.0,219
153815,6.0,221
153815,6.0,223
153815,5.68,224
153815,5.5,226
191065,6.0,228
191065,5.5,229
191065,5.5,230
191065,5.0,231
191065,5.0,232
191065,4.0,234
153839,6.0,235
153839,6.0,236
153839,5.5,238
97683,5.0,240
