group_members,recommendations
"[4389, 10429, 13499, 10341]","[178900, 40692, 34635, 204583, 150376, 31481, 199561, 102794, 176494, 205637]"
"[1941, 7163, 3003, 6815]","[178900, 40692, 34635, 204583, 150376, 31481, 199561, 102794, 176494, 205637]"
"[1361, 3642, 91, 12630]","[178900, 40692, 34635, 204583, 150376, 31481, 199561, 102794, 176494, 205637]"
"[2999, 387, 6238, 7328]","[178900, 40692, 34635, 204583, 150376, 31481, 199561, 102794, 176494, 205637]"
"[736, 1937, 6039, 12425]","[178900, 40692, 34635, 204583, 150376, 31481, 199561, 102794, 176494, 205637]"
"[1083, 13288, 2483, 2362]","[178900, 40692, 34635, 204583, 150376, 31481, 199561, 102794, 176494, 205637]"
"[10713, 13503, 13151, 14309]","[178900, 40692, 34635, 204583, 150376, 31481, 199561, 102794, 176494, 205637]"
"[10646, 6037, 5914, 12107]","[178900, 40692, 34635, 204583, 150376, 31481, 199561, 102794, 176494, 205637]"
"[2458, 490, 667, 12864]","[178900, 34635, 204583, 150376, 31481, 199561, 102794, 176494, 205637, 40692]"
"[7903, 14267, 4722, 188]","[178900, 40692, 34635, 204583, 150376, 31481, 199561, 102794, 176494, 205637]"
"[13037, 8414, 578, 3381]","[178900, 40692, 34635, 204583, 150376, 31481, 199561, 102794, 205637, 176494]"
"[5623, 11741, 785, 7792]","[178900, 40692, 34635, 204583, 150376, 31481, 199561, 102794, 176494, 205637]"
"[10961, 6729, 1301, 2729]","[178900, 40692, 34635, 204583, 150376, 31481, 199561, 102794, 176494, 205637]"
"[1272, 11706, 6861, 295]","[178900, 40692, 34635, 204583, 150376, 31481, 199561, 102794, 176494, 205637]"
"[9668, 6049, 2915, 10527]","[178900, 40692, 34635, 204583, 150376, 31481, 199561, 102794, 176494, 205637]"
"[9074, 1256, 11113, 405]","[178900, 40692, 34635, 204583, 150376, 31481, 199561, 102794, 176494, 205637]"
"[6976, 1461, 9773, 319]","[178900, 40692, 34635, 204583, 150376, 31481, 199561, 102794, 176494, 205637]"
"[5252, 3532, 11874, 9519]","[178900, 40692, 34635, 204583, 150376, 31481, 199561, 102794, 176494, 205637]"
"[13726, 13499, 12415, 14046]","[178900, 40692, 34635, 204583, 150376, 31481, 199561, 102794, 176494, 205637]"
"[2712, 14298, 5248, 3658]","[178900, 40692, 34635, 204583, 150376, 31481, 199561, 102794, 176494, 205637]"
"[8725, 1200, 2492, 2215]","[178900, 40692, 34635, 204583, 150376, 31481, 199561, 102794, 176494, 205637]"
"[8150, 5840, 6609, 11457]","[178900, 40692, 34635, 204583, 150376, 31481, 199561, 102794, 176494, 205637]"
"[11583, 10953, 10847, 12446]","[178900, 40692, 34635, 204583, 150376, 31481, 199561, 102794, 176494, 205637]"
"[8674, 827, 2003, 3096]","[178900, 40692, 34635, 204583, 150376, 31481, 199561, 102794, 176494, 205637]"
"[135, 3813, 5758, 14706]","[178900, 40692, 34635, 204583, 150376, 31481, 199561, 102794, 176494, 205637]"
"[14415, 1166, 12600, 14589]","[178900, 40692, 34635, 204583, 150376, 31481, 199561, 102794, 176494, 205637]"
"[2609, 9773, 6238, 187]","[178900, 40692, 34635, 204583, 150376, 31481, 199561, 102794, 176494, 205637]"
"[5126, 12773, 8536, 2425]","[178900, 40692, 34635, 204583, 150376, 31481, 199561, 102794, 176494, 205637]"
"[10722, 11324, 11162, 11486]","[178900, 40692, 34635, 204583, 150376, 31481, 199561, 102794, 176494, 205637]"
"[5614, 1180, 9363, 12729]","[178900, 40692, 34635, 204583, 150376, 31481, 199561, 102794, 176494, 205637]"
"[6799, 6927, 11157, 7653]","[178900, 40692, 34635, 204583, 150376, 31481, 199561, 102794, 176494, 205637]"
"[4282, 4034, 14391, 9374]","[178900, 40692, 34635, 204583, 150376, 31481, 199561, 102794, 176494, 205637]"
"[10526, 12353, 6540, 1695]","[178900, 40692, 34635, 204583, 150376, 31481, 199561, 102794, 176494, 205637]"
"[8152, 1309, 3764, 8496]","[178900, 40692, 34635, 204583, 150376, 31481, 199561, 102794, 176494, 205637]"
"[10289, 126, 83, 5426]","[178900, 40692, 34635, 204583, 150376, 31481, 199561, 102794, 176494, 205637]"
"[8401, 2070, 4128, 3686]","[178900, 40692, 34635, 204583, 150376, 31481, 199561, 102794, 176494, 205637]"
"[5782, 3143, 11131, 4225]","[178900, 40692, 34635, 204583, 150376, 31481, 199561, 102794, 176494, 205637]"
"[10609, 3970, 14070, 12487]","[178900, 40692, 34635, 204583, 150376, 31481, 199561, 102794, 176494, 205637]"
"[8953, 6468, 8919, 1457]","[178900, 40692, 34635, 204583, 150376, 31481, 199561, 102794, 176494, 205637]"
"[1226, 404, 8837, 6786]","[178900, 40692, 34635, 204583, 150376, 31481, 199561, 102794, 176494, 205637]"
"[3615, 4931, 5752, 2506]","[178900, 40692, 34635, 204583, 150376, 31481, 199561, 102794, 176494, 205637]"
"[7792, 13654, 1735, 13110]","[178900, 40692, 34635, 204583, 150376, 31481, 199561, 102794, 176494, 205637]"
"[128, 3361, 659, 7690]","[178900, 40692, 34635, 204583, 150376, 31481, 199561, 102794, 176494, 205637]"
"[3372, 10056, 5624, 3992]","[178900, 40692, 34635, 204583, 150376, 31481, 199561, 102794, 176494, 205637]"
"[10668, 12888, 12893, 10149]","[178900, 40692, 34635, 204583, 150376, 31481, 199561, 102794, 176494, 205637]"
"[11154, 2040, 8271, 3422]","[178900, 40692, 34635, 204583, 150376, 31481, 199561, 102794, 176494, 205637]"
"[13151, 1972, 13018, 14516]","[178900, 40692, 34635, 204583, 150376, 31481, 199561, 102794, 176494, 205637]"
"[2474, 7298, 2343, 141]","[178900, 40692, 34635, 204583, 150376, 31481, 199561, 102794, 176494, 205637]"
"[12396, 1512, 6380, 1284]","[178900, 40692, 34635, 204583, 150376, 31481, 199561, 102794, 176494, 205637]"
"[2359, 1613, 2050, 263]","[178900, 40692, 34635, 204583, 150376, 31481, 199561, 102794, 176494, 205637]"
"[1319, 7803, 8431, 422]","[178900, 40692, 34635, 204583, 150376, 31481, 199561, 102794, 176494, 205637]"
"[666, 10495, 7527, 8817]","[178900, 40692, 34635, 204583, 150376, 31481, 199561, 102794, 176494, 205637]"
"[7944, 7454, 915, 10860]","[178900, 40692, 34635, 204583, 150376, 31481, 199561, 102794, 176494, 205637]"
"[4134, 10100, 2144, 8984]","[178900, 40692, 34635, 204583, 150376, 31481, 199561, 102794, 176494, 205637]"
"[514, 2287, 3588, 3806]","[178900, 40692, 34635, 150376, 31481, 199561, 102794, 176494, 205637, 204583]"
"[3180, 1317, 10255, 1770]","[178900, 40692, 34635, 204583, 150376, 31481, 199561, 102794, 176494, 205637]"
"[10172, 5487, 3664, 2263]","[178900, 40692, 34635, 204583, 150376, 31481, 199561, 102794, 176494, 205637]"
"[6968, 3575, 6171, 12782]","[178900, 40692, 34635, 204583, 150376, 31481, 199561, 102794, 176494, 205637]"
"[45, 4530, 8363, 11798]","[178900, 40692, 34635, 204583, 150376, 31481, 199561, 176494, 205637, 102794]"
"[5666, 4386, 932, 11449]","[178900, 40692, 34635, 204583, 150376, 31481, 199561, 102794, 176494, 205637]"
"[8348, 3518, 7737, 3746]","[178900, 40692, 34635, 204583, 150376, 31481, 199561, 102794, 176494, 205637]"
"[7542, 1563, 14089, 13203]","[178900, 40692, 34635, 204583, 150376, 31481, 199561, 102794, 176494, 205637]"
"[9891, 1105, 5591, 13027]","[178900, 40692, 34635, 204583, 150376, 31481, 199561, 102794, 176494, 205637]"
"[7527, 4259, 10668, 5994]","[178900, 40692, 34635, 204583, 150376, 31481, 199561, 102794, 176494, 205637]"
"[8667, 11352, 538, 9386]","[178900, 40692, 34635, 204583, 31481, 199561, 102794, 176494, 205637, 150376]"
"[11244, 521, 2141, 7740]","[178900, 40692, 34635, 204583, 150376, 31481, 199561, 102794, 176494, 205637]"
"[6013, 3491, 8462, 3184]","[178900, 40692, 34635, 204583, 150376, 31481, 199561, 102794, 176494, 205637]"
"[11271, 13060, 2287, 10668]","[178900, 40692, 34635, 204583, 150376, 31481, 199561, 102794, 176494, 205637]"
"[12738, 456, 6077, 10292]","[178900, 40692, 34635, 204583, 150376, 31481, 199561, 102794, 176494, 205637]"
"[8277, 2760, 6826, 13291]","[178900, 40692, 34635, 204583, 150376, 31481, 199561, 102794, 176494, 205637]"
"[1096, 3534, 6407, 5252]","[178900, 40692, 34635, 204583, 150376, 31481, 199561, 102794, 176494, 205637]"
