group_members,recommendations
"[4190, 10642, 8999, 13031]","[178900, 34635, 40692, 204583, 102794, 176494, 150376, 73439, 199561, 31481]"
"[13931, 7305, 5964, 8453]","[40692, 178900, 31481, 34635, 150376, 102794, 25292, 73439, 205637, 122515]"
"[13016, 603, 2289, 3155]","[178900, 34635, 204583, 40692, 199561, 150376, 102794, 176494, 172225, 118048]"
"[7511, 11578, 11446, 12254]","[178900, 40692, 34635, 31481, 204583, 150376, 28023, 199561, 102794, 176494]"
"[13302, 1463, 6744, 11139]","[40692, 178900, 34635, 150376, 31481, 205637, 102794, 204583, 171668, 73439]"
"[5225, 3141, 5068, 13827]","[178900, 34635, 40692, 150376, 102794, 199561, 204583, 176494, 205637, 31481]"
"[14270, 802, 136, 9524]","[178900, 204583, 40692, 34635, 31481, 176494, 199561, 209778, 102794, 118048]"
"[2685, 8646, 7261, 4618]","[204583, 178900, 199561, 34635, 40692, 102794, 219513, 176494, 150376, 140934]"
"[9710, 12279, 13889, 129]","[34635, 40692, 178900, 102794, 73439, 122515, 31481, 204583, 176494, 118048]"
"[13037, 6229, 3411, 14811]","[178900, 40692, 34635, 31481, 150376, 102794, 73439, 122515, 176494, 25292]"
"[11005, 3900, 2731, 3720]","[178900, 40692, 34635, 31481, 150376, 204583, 28023, 69789, 176494, 102794]"
"[2753, 8805, 7860, 9484]","[178900, 34635, 40692, 199561, 102794, 204583, 150376, 205637, 163967, 216132]"
"[8301, 8085, 1337, 7933]","[178900, 34635, 40692, 204583, 102794, 176494, 31481, 122515, 73439, 150376]"
"[5251, 1962, 8655, 1537]","[178900, 150376, 40692, 34635, 199561, 204583, 102794, 205637, 31481, 176494]"
"[4821, 3965, 4191, 11774]","[178900, 40692, 34635, 102794, 150376, 205637, 31481, 204583, 73439, 199561]"
"[519, 3400, 1894, 3145]","[34635, 40692, 102794, 178900, 73439, 122515, 31481, 176494, 204583, 70149]"
"[10675, 10559, 11033, 11005]","[178900, 40692, 150376, 34635, 102794, 204583, 205637, 31481, 199561, 176494]"
