group_members,recommendations
"[4389, 10429, 13499, 10341]","[255484, 262534, 205637, 323046, 150376, 214296, 176494, 204583, 124708, 102794]"
"[1941, 7163, 3003, 6815]","[255484, 262534, 323046, 214296, 205637, 150376, 199561, 102794, 34635, 9625]"
"[1361, 3642, 91, 12630]","[255484, 262534, 323046, 214296, 204583, 176494, 199561, 34635, 124708, 150376]"
"[2999, 387, 6238, 7328]","[255484, 262534, 323046, 214296, 205637, 199561, 204583, 150376, 176494, 178900]"
"[736, 1937, 6039, 12425]","[255484, 262534, 205637, 323046, 214296, 102794, 150376, 176494, 199561, 204583]"
"[1083, 13288, 2483, 2362]","[255484, 262534, 323046, 214296, 176494, 204583, 205637, 150376, 178900, 199561]"
"[10713, 13503, 13151, 14309]","[255484, 323046, 262534, 176494, 214296, 150376, 178900, 205637, 199561, 204583]"
"[10646, 6037, 5914, 12107]","[255484, 205637, 262534, 323046, 176494, 214296, 204583, 150376, 124708, 178900]"
"[2458, 490, 667, 12864]","[255484, 323046, 262534, 214296, 204583, 176494, 199561, 124708, 205637, 178900]"
"[7903, 14267, 4722, 188]","[255484, 262534, 205637, 323046, 214296, 102794, 124708, 150376, 176494, 199561]"
"[13037, 8414, 578, 3381]","[262534, 255484, 214296, 323046, 199561, 205637, 150376, 204583, 124708, 176494]"
"[5623, 11741, 785, 7792]","[255484, 262534, 205637, 323046, 214296, 150376, 9625, 176494, 124708, 199561]"
"[10961, 6729, 1301, 2729]","[255484, 323046, 214296, 262534, 199561, 124708, 205637, 150376, 178900, 204583]"
"[1272, 11706, 6861, 295]","[205637, 255484, 323046, 150376, 262534, 214296, 102794, 124708, 176494, 199561]"
"[9668, 6049, 2915, 10527]","[255484, 262534, 323046, 150376, 214296, 205637, 176494, 199561, 204583, 34635]"
"[9074, 1256, 11113, 405]","[255484, 262534, 323046, 214296, 176494, 199561, 31481, 150376, 204583, 9625]"
"[6976, 1461, 9773, 319]","[255484, 262534, 205637, 214296, 323046, 150376, 176494, 199561, 178900, 204583]"
"[5252, 3532, 11874, 9519]","[255484, 205637, 323046, 262534, 214296, 199561, 204583, 176494, 150376, 178900]"
"[13726, 13499, 12415, 14046]","[255484, 262534, 323046, 150376, 176494, 214296, 199561, 204583, 178900, 205637]"
"[2712, 14298, 5248, 3658]","[255484, 205637, 262534, 323046, 150376, 214296, 199561, 204583, 34635, 176494]"
"[8725, 1200, 2492, 2215]","[255484, 262534, 323046, 214296, 176494, 199561, 34635, 205637, 31481, 150376]"
"[8150, 5840, 6609, 11457]","[255484, 262534, 323046, 176494, 214296, 204583, 205637, 150376, 199561, 178900]"
"[11583, 10953, 10847, 12446]","[255484, 323046, 262534, 176494, 214296, 178900, 199561, 205637, 150376, 204583]"
"[8674, 827, 2003, 3096]","[255484, 262534, 205637, 323046, 214296, 176494, 199561, 204583, 31481, 102794]"
"[135, 3813, 5758, 14706]","[255484, 262534, 323046, 214296, 199561, 150376, 176494, 102794, 205637, 34635]"
"[14415, 1166, 12600, 14589]","[255484, 262534, 205637, 323046, 214296, 178900, 204583, 176494, 199561, 150376]"
"[2609, 9773, 6238, 187]","[255484, 262534, 323046, 214296, 124708, 205637, 102794, 176494, 122515, 199561]"
"[5126, 12773, 8536, 2425]","[255484, 262534, 205637, 323046, 214296, 150376, 176494, 34635, 199561, 124708]"
"[10722, 11324, 11162, 11486]","[255484, 262534, 323046, 214296, 199561, 204583, 205637, 34635, 176494, 150376]"
"[5614, 1180, 9363, 12729]","[255484, 262534, 323046, 214296, 150376, 204583, 199561, 337864, 205637, 34635]"
"[6799, 6927, 11157, 7653]","[255484, 323046, 262534, 214296, 176494, 204583, 124708, 199561, 34635, 9625]"
"[4282, 4034, 14391, 9374]","[255484, 323046, 262534, 214296, 199561, 150376, 205637, 176494, 178900, 31481]"
"[10526, 12353, 6540, 1695]","[255484, 205637, 323046, 262534, 214296, 199561, 150376, 176494, 178900, 204583]"
"[8152, 1309, 3764, 8496]","[255484, 262534, 323046, 214296, 199561, 204583, 176494, 150376, 124708, 178900]"
"[10289, 126, 83, 5426]","[255484, 323046, 262534, 214296, 150376, 176494, 124708, 205637, 178900, 34635]"
"[8401, 2070, 4128, 3686]","[255484, 262534, 323046, 150376, 214296, 199561, 205637, 176494, 204583, 9625]"
"[5782, 3143, 11131, 4225]","[255484, 262534, 323046, 150376, 214296, 199561, 204583, 205637, 176494, 178900]"
"[10609, 3970, 14070, 12487]","[255484, 262534, 205637, 323046, 176494, 214296, 150376, 178900, 199561, 204583]"
"[8953, 6468, 8919, 1457]","[255484, 262534, 323046, 214296, 124708, 176494, 199561, 34635, 205637, 150376]"
"[1226, 404, 8837, 6786]","[255484, 262534, 205637, 323046, 150376, 176494, 214296, 199561, 204583, 178900]"
"[3615, 4931, 5752, 2506]","[255484, 205637, 262534, 323046, 176494, 214296, 199561, 204583, 150376, 34635]"
"[7792, 13654, 1735, 13110]","[255484, 262534, 323046, 214296, 199561, 205637, 178900, 124708, 102794, 176494]"
"[128, 3361, 659, 7690]","[255484, 262534, 323046, 214296, 199561, 205637, 102794, 178900, 204583, 150376]"
"[3372, 10056, 5624, 3992]","[255484, 323046, 176494, 214296, 262534, 205637, 150376, 102794, 199561, 178900]"
"[10668, 12888, 12893, 10149]","[255484, 262534, 323046, 176494, 214296, 199561, 204583, 34635, 205637, 178900]"
"[11154, 2040, 8271, 3422]","[255484, 262534, 323046, 176494, 214296, 150376, 199561, 204583, 178900, 102794]"
"[13151, 1972, 13018, 14516]","[255484, 262534, 205637, 323046, 214296, 178900, 199561, 176494, 204583, 150376]"
"[2474, 7298, 2343, 141]","[255484, 262534, 323046, 214296, 150376, 178900, 204583, 124708, 199561, 102794]"
"[12396, 1512, 6380, 1284]","[255484, 323046, 150376, 262534, 176494, 214296, 199561, 102794, 204583, 178900]"
"[2359, 1613, 2050, 263]","[255484, 262534, 323046, 176494, 214296, 178900, 124708, 205637, 9625, 150376]"
"[1319, 7803, 8431, 422]","[255484, 262534, 323046, 214296, 150376, 176494, 124708, 102794, 205637, 178900]"
"[666, 10495, 7527, 8817]","[255484, 262534, 323046, 214296, 205637, 178900, 124708, 176494, 102794, 150376]"
"[7944, 7454, 915, 10860]","[255484, 262534, 205637, 323046, 214296, 199561, 34635, 102794, 176494, 150376]"
"[4134, 10100, 2144, 8984]","[255484, 262534, 323046, 214296, 205637, 102794, 124708, 150376, 204583, 199561]"
"[514, 2287, 3588, 3806]","[255484, 205637, 323046, 262534, 150376, 176494, 214296, 199561, 204583, 102794]"
"[3180, 1317, 10255, 1770]","[255484, 262534, 323046, 176494, 214296, 204583, 150376, 199561, 205637, 102794]"
"[10172, 5487, 3664, 2263]","[255484, 262534, 205637, 323046, 214296, 199561, 150376, 124708, 176494, 178900]"
"[6968, 3575, 6171, 12782]","[255484, 262534, 323046, 176494, 214296, 178900, 204583, 102794, 9625, 205637]"
"[45, 4530, 8363, 11798]","[255484, 262534, 205637, 323046, 214296, 176494, 199561, 178900, 150376, 204583]"
"[5666, 4386, 932, 11449]","[255484, 262534, 205637, 323046, 214296, 199561, 176494, 204583, 150376, 178900]"
"[8348, 3518, 7737, 3746]","[255484, 262534, 323046, 214296, 178900, 199561, 205637, 150376, 34635, 102794]"
"[7542, 1563, 14089, 13203]","[255484, 262534, 205637, 323046, 176494, 214296, 199561, 204583, 150376, 178900]"
"[9891, 1105, 5591, 13027]","[255484, 323046, 205637, 262534, 150376, 214296, 102794, 204583, 176494, 199561]"
"[7527, 4259, 10668, 5994]","[255484, 262534, 323046, 214296, 199561, 176494, 205637, 150376, 124708, 102794]"
"[8667, 11352, 538, 9386]","[255484, 262534, 323046, 214296, 205637, 124708, 337864, 176494, 9625, 156443]"
"[11244, 521, 2141, 7740]","[255484, 262534, 323046, 214296, 124708, 199561, 204583, 34635, 102794, 205637]"
"[6013, 3491, 8462, 3184]","[255484, 262534, 323046, 214296, 204583, 178900, 199561, 205637, 124708, 176494]"
"[11271, 13060, 2287, 10668]","[255484, 262534, 205637, 323046, 214296, 178900, 199561, 204583, 34635, 176494]"
"[12738, 456, 6077, 10292]","[262534, 255484, 205637, 323046, 214296, 199561, 176494, 178900, 124708, 150376]"
"[8277, 2760, 6826, 13291]","[255484, 262534, 323046, 214296, 150376, 176494, 178900, 199561, 102794, 205637]"
"[1096, 3534, 6407, 5252]","[255484, 262534, 323046, 214296, 124708, 199561, 178900, 34635, 205637, 150376]"
"[1172, 11596, 9384, 1566]","[255484, 262534, 323046, 150376, 214296, 205637, 176494, 178900, 199561, 102794]"
"[1625, 1181, 4455, 3619]","[255484, 262534, 205637, 323046, 214296, 199561, 204583, 34635, 124708, 150376]"
"[6634, 8318, 6128, 2868]","[255484, 262534, 323046, 176494, 214296, 178900, 199561, 204583, 31481, 102794]"
"[379, 5342, 6901, 7661]","[255484, 262534, 323046, 214296, 205637, 150376, 176494, 124708, 204583, 9625]"
"[11140, 3572, 12259, 1557]","[255484, 262534, 323046, 214296, 205637, 176494, 102794, 34635, 150376, 204583]"
"[2425, 1595, 5287, 13494]","[255484, 323046, 262534, 205637, 176494, 214296, 199561, 150376, 34635, 124708]"
"[5130, 9169, 7438, 13499]","[255484, 262534, 323046, 150376, 214296, 176494, 199561, 205637, 204583, 34635]"
"[11869, 5302, 3091, 5708]","[255484, 262534, 323046, 214296, 205637, 150376, 176494, 178900, 204583, 102794]"
"[6505, 6814, 1812, 922]","[255484, 262534, 323046, 214296, 205637, 176494, 199561, 124708, 150376, 178900]"
"[14528, 1093, 7918, 10172]","[255484, 262534, 323046, 214296, 205637, 204583, 31481, 150376, 176494, 178900]"
"[7501, 3236, 5105, 6437]","[323046, 205637, 255484, 176494, 214296, 150376, 204583, 262534, 34635, 102794]"
"[6037, 8083, 781, 2589]","[255484, 262534, 323046, 214296, 204583, 205637, 150376, 176494, 124708, 199561]"
"[8778, 7626, 13494, 5560]","[255484, 262534, 205637, 323046, 214296, 176494, 199561, 204583, 178900, 34635]"
"[4363, 3023, 2734, 9769]","[255484, 262534, 323046, 214296, 124708, 205637, 176494, 9625, 34635, 102794]"
"[7, 9929, 5716, 6565]","[262534, 255484, 323046, 176494, 150376, 199561, 205637, 178900, 204583, 214296]"
"[14646, 8759, 7317, 3348]","[255484, 262534, 323046, 150376, 214296, 205637, 178900, 204583, 176494, 199561]"
"[2870, 3330, 2299, 9410]","[255484, 205637, 323046, 214296, 262534, 150376, 199561, 176494, 204583, 124708]"
