group_members,recommendations
"[2817, 439, 6540, 3785]","[255484, 323046, 262534, 214296, 205637, 150376, 199561, 102794, 204583, 34635]"
"[10779, 8012, 6039, 5355]","[255484, 262534, 323046, 214296, 124708, 205637, 150376, 34635, 9625, 176494]"
"[10953, 12259, 14042, 2791]","[255484, 262534, 323046, 214296, 178900, 205637, 199561, 34635, 150376, 176494]"
"[252, 2923, 421, 14528]","[255484, 262534, 323046, 214296, 150376, 176494, 204583, 337864, 205637, 178900]"
"[11986, 7385, 11019, 6929]","[255484, 262534, 323046, 214296, 205637, 150376, 102794, 199561, 176494, 178900]"
"[8778, 3535, 1700, 294]","[255484, 262534, 205637, 323046, 214296, 176494, 199561, 204583, 34635, 124708]"
"[13035, 1469, 12843, 4157]","[255484, 205637, 262534, 323046, 150376, 176494, 178900, 214296, 199561, 204583]"
"[6781, 9052, 7196, 8450]","[255484, 262534, 323046, 214296, 34635, 124708, 176494, 178900, 199561, 204583]"
"[6483, 12739, 5917, 6231]","[255484, 262534, 323046, 214296, 124708, 9625, 205637, 199561, 204583, 176494]"
"[342, 14236, 3581, 8724]","[255484, 262534, 205637, 323046, 214296, 150376, 124708, 34635, 31481, 9625]"
"[10031, 8755, 10969, 1386]","[255484, 262534, 323046, 214296, 34635, 150376, 176494, 178900, 199561, 124708]"
"[5235, 1970, 3508, 8617]","[255484, 262534, 205637, 323046, 214296, 204583, 150376, 176494, 178900, 199561]"
"[1631, 12021, 12895, 8833]","[255484, 323046, 262534, 214296, 204583, 102794, 176494, 199561, 124708, 150376]"
"[2016, 7953, 12211, 11263]","[255484, 262534, 205637, 323046, 214296, 150376, 176494, 199561, 34635, 204583]"
"[8680, 6682, 9693, 13274]","[255484, 205637, 262534, 323046, 176494, 214296, 199561, 124708, 204583, 150376]"
"[11499, 6551, 4730, 13736]","[323046, 255484, 262534, 214296, 176494, 178900, 102794, 199561, 150376, 124708]"
"[11441, 3655, 7823, 11723]","[255484, 262534, 323046, 150376, 176494, 214296, 205637, 178900, 204583, 199561]"
"[4418, 11853, 13991, 1457]","[255484, 323046, 214296, 102794, 262534, 199561, 124708, 34635, 176494, 150376]"
"[690, 13748, 357, 6941]","[255484, 262534, 323046, 214296, 124708, 176494, 178900, 204583, 34635, 102794]"
"[3275, 11677, 9380, 4441]","[255484, 323046, 262534, 214296, 124708, 150376, 176494, 178900, 199561, 204583]"
"[1173, 14634, 11395, 716]","[255484, 262534, 323046, 214296, 150376, 176494, 204583, 205637, 34635, 31481]"
"[694, 8200, 6294, 8079]","[255484, 323046, 262534, 214296, 199561, 204583, 34635, 205637, 176494, 124708]"
"[7490, 6923, 13560, 14298]","[255484, 262534, 323046, 150376, 214296, 199561, 178900, 204583, 205637, 102794]"
"[7233, 3480, 8719, 569]","[255484, 262534, 323046, 214296, 204583, 150376, 176494, 124708, 205637, 178900]"
"[12276, 1184, 8227, 868]","[255484, 262534, 205637, 323046, 214296, 199561, 34635, 178900, 150376, 176494]"
"[9541, 8431, 12090, 9778]","[255484, 262534, 323046, 214296, 124708, 102794, 205637, 34635, 176494, 150376]"
"[1658, 4409, 1975, 3035]","[255484, 262534, 214296, 323046, 204583, 205637, 176494, 124708, 199561, 102794]"
"[2221, 14670, 8388, 7746]","[255484, 323046, 262534, 214296, 176494, 205637, 204583, 124708, 9625, 150376]"
"[6537, 3806, 8087, 3604]","[255484, 262534, 205637, 323046, 214296, 199561, 176494, 178900, 150376, 204583]"
"[3787, 798, 5020, 4982]","[255484, 262534, 323046, 214296, 204583, 176494, 34635, 102794, 150376, 124708]"
"[1561, 9711, 13771, 12369]","[255484, 262534, 323046, 150376, 214296, 199561, 176494, 178900, 205637, 204583]"
"[5030, 2744, 11741, 11324]","[255484, 323046, 262534, 176494, 214296, 205637, 150376, 199561, 102794, 204583]"
"[1910, 1821, 7103, 8756]","[255484, 262534, 205637, 323046, 150376, 176494, 214296, 204583, 34635, 178900]"
"[12891, 10646, 1767, 1015]","[255484, 323046, 262534, 178900, 214296, 204583, 205637, 150376, 176494, 199561]"
"[3457, 2465, 419, 8375]","[255484, 262534, 323046, 150376, 176494, 214296, 199561, 205637, 124708, 102794]"
"[5074, 10373, 833, 995]","[255484, 262534, 323046, 214296, 199561, 204583, 176494, 205637, 150376, 102794]"
"[10866, 7258, 3474, 9291]","[255484, 262534, 205637, 323046, 176494, 214296, 199561, 204583, 34635, 178900]"
"[12600, 2214, 10480, 13274]","[255484, 262534, 205637, 323046, 150376, 176494, 214296, 178900, 199561, 204583]"
"[1022, 96, 5099, 8006]","[255484, 323046, 262534, 214296, 199561, 176494, 204583, 124708, 34635, 205637]"
"[5755, 13965, 8688, 1495]","[255484, 262534, 205637, 323046, 176494, 214296, 199561, 204583, 178900, 124708]"
"[2903, 10866, 5312, 1289]","[255484, 262534, 323046, 176494, 214296, 205637, 124708, 199561, 150376, 178900]"
"[2932, 8755, 11709, 14394]","[255484, 262534, 323046, 150376, 214296, 199561, 204583, 34635, 176494, 124708]"
"[4525, 2956, 3192, 5658]","[255484, 262534, 323046, 214296, 199561, 205637, 124708, 34635, 150376, 102794]"
"[3452, 3658, 11975, 2065]","[262534, 255484, 205637, 323046, 214296, 199561, 150376, 34635, 176494, 204583]"
"[11780, 9901, 8676, 8802]","[255484, 262534, 205637, 323046, 214296, 176494, 178900, 199561, 204583, 124708]"
"[8006, 3970, 6690, 14156]","[255484, 262534, 205637, 323046, 176494, 214296, 199561, 204583, 178900, 124708]"
"[7507, 4009, 4409, 10364]","[255484, 205637, 262534, 323046, 176494, 214296, 199561, 102794, 124708, 204583]"
"[3260, 9576, 2083, 6834]","[255484, 262534, 323046, 176494, 214296, 199561, 205637, 150376, 204583, 34635]"
"[6751, 2517, 966, 713]","[255484, 262534, 323046, 150376, 176494, 214296, 199561, 204583, 124708, 205637]"
