group_members,recommendations
"[10523, 497, 7233, 10049]","[50, 2655, 18602, 176494, 172, 266192, 8217, 100901, 42215, 20551]"
"[8542, 10367, 1343, 9679]","[50, 172, 2655, 18602, 8217, 100901, 50381, 20551, 327, 174430]"
"[7221, 1229, 828, 7487]","[266192, 50, 183394, 157969, 176494, 2655, 244522, 172, 218603, 284083]"
"[998, 837, 4527, 8570]","[266192, 50, 183394, 2655, 174430, 176494, 284083, 244522, 218603, 157969]"
"[14030, 2672, 12906, 1654]","[50, 2655, 172, 266192, 176494, 18602, 8217, 42215, 183394, 4390]"
"[521, 901, 6168, 3865]","[50, 172, 18602, 2655, 8217, 157969, 20551, 266192, 115746, 31594]"
"[1199, 1069, 11736, 13764]","[266192, 50, 183394, 174430, 2655, 209778, 100901, 284083, 176494, 157969]"
"[6927, 7932, 1581, 5937]","[50, 172, 2655, 266192, 8217, 157969, 18602, 50381, 176494, 2452]"
"[3237, 10585, 13353, 13875]","[18602, 8217, 50, 31594, 2655, 20551, 172, 183394, 266192, 115746]"
"[13461, 1197, 871, 8997]","[174430, 266192, 100901, 50, 2655, 183394, 209778, 284083, 172, 157969]"
"[6425, 1748, 4513, 7757]","[266192, 183394, 176494, 244522, 50, 284083, 312484, 218603, 2655, 174430]"
"[3553, 8762, 7792, 3672]","[50, 172, 2655, 18602, 157969, 266192, 176494, 174430, 8217, 100901]"
"[5337, 2092, 1410, 4243]","[50, 266192, 2655, 8217, 18602, 172, 183394, 174430, 31594, 115746]"
"[8353, 12332, 3298, 672]","[266192, 174430, 157969, 183394, 50, 50381, 185343, 155362, 180263, 218603]"
"[2529, 1230, 5379, 9711]","[266192, 183394, 50, 176494, 2655, 18602, 218603, 244522, 174430, 157969]"
"[12178, 5801, 1818, 6890]","[50, 2655, 172, 266192, 18602, 8217, 174430, 100901, 115746, 157969]"
"[1487, 10815, 1352, 3937]","[266192, 183394, 50, 244522, 284083, 176494, 157969, 218603, 312484, 2655]"
"[9879, 3801, 10927, 8845]","[50, 2655, 18602, 172, 8217, 20551, 31594, 4390, 176494, 266192]"
"[77, 2442, 752, 3960]","[266192, 50, 176494, 172, 2655, 183394, 157969, 174430, 18602, 100901]"
"[11753, 231, 412, 10321]","[50, 172, 8217, 2655, 18602, 50381, 30869, 372, 42215, 157969]"
"[9088, 5137, 1655, 10671]","[266192, 284083, 157969, 209778, 50, 183394, 218603, 2655, 176494, 174430]"
"[11448, 12025, 9460, 10162]","[50, 172, 2655, 18602, 8217, 266192, 176494, 183394, 157969, 50381]"
"[5897, 8051, 14025, 12061]","[50, 266192, 50381, 183394, 157969, 172, 174430, 8217, 2655, 284083]"
"[614, 7905, 13424, 8883]","[266192, 50, 157969, 174430, 50381, 172225, 183394, 199042, 172, 284083]"
"[2153, 6532, 3139, 8022]","[50, 18602, 266192, 2655, 183394, 172, 8217, 176494, 100901, 31594]"
"[14392, 477, 4329, 6275]","[266192, 183394, 174430, 50, 176494, 185343, 157969, 2655, 100901, 284083]"
"[1379, 4675, 450, 6784]","[266192, 183394, 50, 174430, 157969, 176494, 2655, 284083, 218603, 209778]"
"[9698, 10351, 10457, 5642]","[183394, 266192, 185343, 176494, 312484, 284083, 174430, 244522, 218603, 50]"
"[4354, 3896, 3832, 4633]","[183394, 266192, 174430, 18602, 185343, 176494, 50, 312484, 2655, 172]"
"[9515, 3154, 6891, 4188]","[50, 266192, 183394, 172, 2655, 176494, 18602, 8217, 244522, 157969]"
"[1645, 3863, 8182, 11112]","[50, 172, 2655, 8217, 18602, 266192, 31594, 4390, 42215, 20551]"
"[6471, 8084, 97, 11345]","[50, 172, 8217, 2655, 18602, 4390, 31594, 20551, 30869, 176494]"
"[5153, 10568, 2777, 10526]","[50, 2655, 172, 157969, 266192, 18602, 8217, 174430, 100901, 176494]"
"[8282, 2621, 1566, 1864]","[266192, 183394, 50, 2655, 284083, 176494, 172, 174430, 100901, 18602]"
"[10585, 1241, 5964, 7303]","[50, 8217, 172, 266192, 2655, 50381, 18602, 157969, 372, 31594]"
"[9350, 5035, 2261, 12491]","[266192, 157969, 50, 183394, 174430, 50381, 284083, 172225, 172, 218603]"
