group_members,recommendations
"[618, 8228, 10908, 8996]","[266192, 157969, 172225, 50, 284083, 50381, 174430, 209778, 171668, 172]"
"[7527, 7128, 8575, 2042]","[50, 266192, 157969, 172, 2655, 176494, 183394, 174430, 218603, 100901]"
"[5833, 14199, 7060, 5671]","[266192, 183394, 284083, 218603, 157969, 176494, 174430, 244522, 50, 312484]"
"[2978, 1254, 9446, 2354]","[50, 172, 2655, 18602, 8217, 266192, 157969, 176494, 30869, 20551]"
"[12466, 2626, 9807, 8462]","[18602, 115746, 174430, 183394, 20551, 185343, 25021, 266192, 62227, 2655]"
"[13032, 3448, 751, 6721]","[266192, 183394, 157969, 172225, 50, 244522, 284083, 218603, 176494, 174430]"
"[2926, 4359, 3112, 1254]","[50, 266192, 172, 157969, 50381, 8217, 2655, 183394, 284083, 244522]"
"[10947, 4582, 6864, 641]","[50, 8217, 18602, 2655, 172, 30869, 31594, 4390, 13004, 20551]"
"[11030, 2069, 6296, 3154]","[266192, 183394, 50, 284083, 244522, 2655, 209778, 176494, 218603, 172]"
"[123, 9711, 6727, 9337]","[50, 172225, 157969, 2452, 2655, 50381, 172, 266192, 155362, 209778]"
"[13447, 9501, 5898, 3051]","[266192, 157969, 50, 183394, 172225, 50381, 155362, 172, 218603, 176494]"
"[2644, 13694, 4188, 9198]","[174430, 157969, 180263, 284083, 266192, 183394, 176189, 199042, 209778, 171668]"
"[6750, 1820, 11181, 8462]","[174430, 183394, 266192, 185343, 100901, 176494, 18602, 284083, 2655, 209778]"
"[4074, 7460, 5827, 10391]","[266192, 183394, 50, 176494, 157969, 18602, 2655, 218603, 174430, 172]"
"[10721, 12810, 5242, 6226]","[50, 2655, 18602, 8217, 172, 4390, 31594, 2452, 327, 20551]"
"[5461, 1715, 3802, 4829]","[50, 2655, 172, 18602, 8217, 327, 2452, 42215, 4390, 157969]"
"[128, 9317, 402, 11087]","[266192, 183394, 50, 176494, 2655, 218603, 284083, 209778, 172, 157969]"
"[6020, 4215, 4230, 318]","[50, 172, 18602, 2655, 8217, 266192, 176494, 157969, 31594, 20551]"
"[5971, 8418, 4369, 2444]","[266192, 183394, 50, 284083, 176494, 218603, 157969, 172, 244522, 209778]"
"[4675, 2905, 12332, 4939]","[174430, 183394, 284083, 266192, 185343, 180263, 115746, 18602, 62227, 200680]"
"[8574, 11749, 9508, 8022]","[50, 172, 8217, 18602, 2655, 266192, 30869, 157969, 372, 176494]"
"[2406, 3650, 9099, 2133]","[18602, 183394, 172, 266192, 20551, 8217, 50, 176494, 2655, 31594]"
"[5261, 14125, 11271, 10429]","[50, 172, 157969, 2655, 50381, 8217, 155362, 2398, 139030, 770]"
"[1627, 5759, 1769, 95]","[50, 172, 284083, 157969, 2655, 266192, 209778, 50381, 171668, 100901]"
"[3397, 2839, 3041, 6470]","[50, 172, 18602, 2655, 8217, 1382, 30869, 42215, 31594, 20551]"
"[14532, 2584, 3762, 3189]","[183394, 266192, 312484, 284083, 174430, 176494, 185343, 218603, 244522, 209778]"
"[6708, 12442, 1087, 5342]","[284083, 266192, 209778, 157969, 50, 183394, 218603, 172, 172225, 174430]"
"[6326, 12343, 10400, 4295]","[266192, 183394, 50, 284083, 174430, 157969, 176494, 244522, 218603, 2655]"
"[10747, 8990, 9213, 9973]","[266192, 284083, 50, 209778, 157969, 172, 218603, 183394, 2655, 176494]"
"[12682, 13227, 6783, 6043]","[50, 172, 2655, 157969, 174430, 176494, 266192, 8217, 18602, 100901]"
"[12514, 7635, 3940, 5195]","[18602, 183394, 266192, 174430, 185343, 2655, 8217, 176494, 284083, 20551]"
"[6937, 7447, 620, 10302]","[266192, 50, 157969, 172225, 284083, 183394, 209778, 174430, 50381, 218603]"
"[12962, 8300, 1796, 8285]","[50, 172, 157969, 2655, 50381, 8217, 139030, 155362, 172225, 2398]"
"[9243, 12143, 3767, 486]","[266192, 183394, 50, 157969, 176494, 218603, 172, 284083, 2655, 18602]"
"[10280, 4017, 1063, 278]","[174430, 115746, 100901, 157969, 50, 2655, 105134, 176189, 172, 266192]"
"[6721, 2795, 13775, 13032]","[266192, 172225, 157969, 183394, 50, 50381, 284083, 244522, 174430, 218603]"
"[10365, 6965, 12860, 3417]","[50, 2655, 18602, 172, 266192, 174430, 8217, 157969, 183394, 176494]"
"[8268, 1203, 1533, 2178]","[266192, 183394, 2655, 50, 284083, 174430, 100901, 244522, 218603, 176494]"
"[141, 8772, 4256, 4132]","[266192, 183394, 157969, 2655, 176494, 284083, 209778, 50, 172, 174430]"
"[1568, 5661, 148, 3633]","[50, 172, 2655, 8217, 18602, 157969, 30869, 42215, 266192, 327]"
"[596, 1816, 3406, 3493]","[18602, 2655, 8217, 115746, 50, 20551, 31594, 172, 25021, 174430]"
"[155, 210, 2224, 2145]","[266192, 183394, 176494, 50, 244522, 185343, 312484, 218603, 157969, 2655]"
"[2895, 13659, 992, 2302]","[157969, 174430, 284083, 209778, 266192, 199042, 171668, 180263, 155362, 183394]"
"[13461, 9916, 12537, 3850]","[50, 2655, 172, 100901, 174430, 8217, 18602, 157969, 266192, 209778]"
"[8949, 7669, 5754, 7849]","[266192, 183394, 174430, 176494, 284083, 157969, 185343, 312484, 218603, 244522]"
"[11987, 12971, 687, 6241]","[266192, 183394, 50, 284083, 157969, 174430, 172, 218603, 176494, 2655]"
"[1965, 749, 5804, 12035]","[183394, 266192, 176494, 18602, 218603, 244522, 2655, 284083, 245654, 312484]"
"[7028, 4954, 6979, 7704]","[18602, 172, 2655, 50, 20551, 8217, 176494, 266192, 157969, 31594]"
"[1698, 2995, 4505, 2808]","[50, 172, 2655, 8217, 4390, 30869, 2452, 42215, 2719, 327]"
"[4665, 1410, 1074, 1429]","[987, 586, 207572, 2259, 1513, 1710, 115746, 62227, 2238, 38823]"
"[9744, 941, 9419, 1396]","[266192, 284083, 50, 209778, 2655, 183394, 244522, 172, 100901, 174430]"
"[5456, 107, 10317, 3158]","[266192, 183394, 284083, 174430, 157969, 218603, 244522, 312484, 209778, 199042]"
"[12863, 14743, 1319, 3648]","[50, 266192, 2655, 172, 157969, 174430, 100901, 183394, 176494, 284083]"
"[12159, 12465, 12050, 9747]","[174430, 157969, 176189, 155068, 180263, 199042, 209778, 266192, 155362, 172225]"
"[4664, 4408, 8429, 6639]","[266192, 50, 157969, 172, 2655, 18602, 183394, 174430, 176494, 284083]"
"[324, 7547, 2808, 747]","[50, 2655, 8217, 172, 18602, 4390, 30869, 31594, 2452, 327]"
"[2739, 5540, 6174, 8570]","[50, 172, 2655, 2719, 8217, 2452, 266192, 50381, 157969, 327]"
"[7060, 11288, 5882, 530]","[266192, 183394, 157969, 176494, 50, 218603, 174430, 284083, 172, 2655]"
"[1235, 8583, 2672, 2358]","[157969, 174430, 266192, 209778, 155362, 50, 172, 284083, 171668, 172225]"
"[3362, 1291, 7398, 1993]","[2655, 50, 18602, 172, 8217, 157969, 100901, 176494, 20551, 266192]"
"[2226, 206, 14315, 6836]","[2655, 50, 172, 327, 209778, 284083, 157969, 2452, 266192, 50381]"
"[1297, 852, 2658, 1843]","[50, 172, 8217, 18602, 30869, 2655, 31594, 1382, 4390, 2398]"
"[3314, 2762, 9303, 4858]","[50, 18602, 2655, 8217, 172, 4390, 30869, 327, 2452, 31594]"
"[4182, 10409, 3498, 6336]","[266192, 50, 174430, 183394, 284083, 157969, 2655, 209778, 172, 100901]"
"[13123, 389, 11079, 1788]","[18602, 2655, 8217, 50, 172, 31594, 20551, 176494, 4390, 30869]"
"[4316, 11835, 3554, 9325]","[266192, 183394, 174430, 284083, 209778, 157969, 176494, 244522, 180263, 218603]"
"[12887, 6891, 3145, 5439]","[50, 172, 266192, 157969, 2655, 183394, 8217, 50381, 176494, 372]"
"[6917, 1929, 620, 2624]","[266192, 284083, 174430, 183394, 209778, 157969, 100901, 180263, 176494, 244522]"
"[6126, 6803, 4582, 7930]","[266192, 50, 183394, 176494, 172, 18602, 2655, 157969, 8217, 218603]"
"[11399, 14319, 7344, 10878]","[266192, 183394, 176494, 50, 244522, 284083, 218603, 2655, 209778, 157969]"
"[14418, 833, 13467, 12968]","[18602, 8217, 50, 20551, 172, 31594, 2655, 30869, 4390, 13004]"
"[9841, 9606, 4071, 892]","[266192, 50, 183394, 18602, 176494, 172, 2655, 218603, 8217, 157969]"
"[7582, 4168, 7712, 5731]","[183394, 185343, 266192, 174430, 312484, 176494, 18602, 163068, 218603, 200680]"
"[4526, 4214, 187, 2071]","[266192, 183394, 176494, 18602, 50, 185343, 312484, 244522, 218603, 157969]"
"[7711, 4196, 1555, 6727]","[50, 2452, 172225, 2655, 172, 157969, 266192, 50381, 327, 209778]"
"[5389, 5667, 8625, 620]","[266192, 174430, 183394, 284083, 157969, 50, 100901, 2655, 209778, 180263]"
"[8827, 14129, 7012, 6463]","[50, 2655, 172, 266192, 209778, 284083, 157969, 176494, 42215, 218603]"
"[4215, 11380, 3683, 12125]","[266192, 157969, 50, 172, 183394, 284083, 176494, 209778, 2655, 172225]"
"[13081, 11862, 4759, 3498]","[174430, 284083, 266192, 183394, 180263, 209778, 157969, 199042, 176189, 100901]"
"[3818, 2736, 1636, 14228]","[18602, 8217, 50, 172, 20551, 31594, 2655, 30869, 4390, 1041]"
"[184, 2927, 5313, 3940]","[18602, 50, 2655, 8217, 172, 20551, 31594, 4390, 30869, 13004]"
