BGGId,Rating,Username
126025,6.0,0
126025,6.0,3
126025,5.0,4
126025,5.0,5
1390,4.0,6
165633,5.5,7
165633,4.0,10
165633,4.0,11
165633,4.0,12
157673,5.0,13
157673,4.5,15
157673,4.0,16
378,6.0,18
378,6.0,19
215503,6.0,21
209282,6.0,22
209282,6.0,24
209282,5.0,25
209282,5.0,26
209282,5.0,27
127646,3.0,29
127839,6.5,30
127839,6.0,31
127839,6.0,34
127839,6.0,35
127839,6.0,36
127839,6.0,37
127839,6.0,38
127839,5.0,39
127839,5.0,40
127839,5.0,41
127839,5.0,43
127839,5.0,44
127839,4.0,45
127839,4.0,46
128098,5.6,48
128098,5.0,49
341048,7.0,50
341048,7.0,51
341048,6.5,53
341048,6.0,54
341048,5.0,56
210101,7.0,59
210101,7.0,61
210101,6.0,62
210101,6.0,64
163399,7.0,65
163399,6.0,67
163399,6.0,68
119316,4.0,69
119316,2.0,70
116860,5.0,71
116860,5.0,72
116860,5.0,73
116860,4.0,74
117784,5.0,76
117784,5.0,77
117784,4.0,1
117784,4.0,78
117784,4.0,79
159405,3.0,80
1256,4.0,81
1256,4.0,82
1256,2.0,83
1256,1.0,84
1256,1.0,85
469,5.0,86
124954,5.73,87
124954,5.0,90
124954,5.0,91
124954,5.0,92
124954,5.0,93
124954,5.0,94
124954,5.0,95
124954,5.0,96
124954,4.0,97
124954,4.0,98
124954,4.0,99
124954,3.0,100
124954,3.0,101
124954,1.1,102
195205,4.0,103
195205,1.0,105
195205,1.0,106
160067,4.5,108
160067,4.0,109
160067,3.0,110
160067,2.5,111
160067,2.0,112
160067,1.0,114
118177,5.0,115
173770,5.75,116
173770,5.0,117
173770,5.0,118
173770,4.0,121
96672,4.0,123
96672,4.0,124
96672,1.0,125
95364,3.0,128
191191,6.0,129
191191,6.0,130
191191,6.0,132
191191,5.7,133
191191,4.0,135
191191,3.0,136
191191,1.0,137
198305,2.0,138
1572,6.0,139
1572,6.0,140
1572,4.0,141
284,5.0,142
284,5.0,57
284,5.0,143
133633,5.0,145
133633,5.0,146
133633,5.0,147
133633,4.0,148
133633,3.5,149
133633,2.0,151
133633,1.0,152
175497,3.0,154
92499,5.0,156
92499,4.0,158
92499,4.0,160
92499,2.0,163
189504,5.0,164
189504,5.0,165
134524,7.0,166
134524,6.5,167
134524,3.1,168
133713,5.0,169
133713,4.0,172
133713,3.0,173
133713,1.0,175
198791,7.0,176
198791,6.0,177
198791,5.5,178
198791,1.0,179
153002,4.0,180
1517,3.0,181
1517,2.0,184
129225,5.0,189
129225,5.0,190
129225,4.0,191
104780,4.0,75
104780,3.0,193
104780,2.0,194
154553,1.0,196
130908,6.0,197
130908,6.0,198
130908,6.0,199
130908,6.0,200
130908,6.0,201
130908,6.0,202
130908,6.0,203
130908,5.5,205
130908,5.0,207
130908,4.0,208
130908,4.0,209
130908,4.0,210
130908,1.0,211
687,6.0,214
687,6.0,215
687,5.0,218
687,4.0,219
172237,2.0,220
102219,6.0,221
102219,5.0,223
102219,5.0,224
102219,5.0,226
102219,5.0,227
102219,4.0,228
191681,2.0,229
171779,5.0,230
