group_members,recommendations
"[10523, 497, 7233, 10049]","[266192, 50, 174430, 183394, 2655, 157969, 172, 18602, 284083, 176494]"
"[8542, 10367, 1343, 9679]","[266192, 50, 174430, 183394, 2655, 157969, 172, 18602, 284083, 176494]"
"[7221, 1229, 828, 7487]","[266192, 50, 174430, 183394, 2655, 157969, 172, 18602, 284083, 176494]"
"[998, 837, 4527, 8570]","[266192, 50, 174430, 183394, 2655, 157969, 172, 18602, 284083, 176494]"
"[14030, 2672, 12906, 1654]","[266192, 50, 174430, 183394, 2655, 157969, 172, 18602, 284083, 176494]"
"[521, 901, 6168, 3865]","[266192, 50, 174430, 183394, 2655, 157969, 172, 18602, 284083, 176494]"
"[1199, 1069, 11736, 13764]","[266192, 50, 174430, 183394, 2655, 157969, 172, 18602, 284083, 176494]"
"[6927, 7932, 1581, 5937]","[266192, 50, 174430, 183394, 2655, 157969, 172, 18602, 284083, 176494]"
"[3237, 10585, 13353, 13875]","[266192, 50, 174430, 183394, 2655, 157969, 172, 18602, 284083, 176494]"
"[13461, 1197, 871, 8997]","[266192, 50, 174430, 183394, 2655, 157969, 172, 18602, 284083, 176494]"
"[6425, 1748, 4513, 7757]","[266192, 50, 174430, 183394, 2655, 157969, 172, 18602, 284083, 176494]"
"[3553, 8762, 7792, 3672]","[266192, 50, 174430, 183394, 2655, 157969, 172, 18602, 284083, 176494]"
"[5337, 2092, 1410, 4243]","[266192, 50, 174430, 183394, 2655, 157969, 172, 18602, 284083, 176494]"
"[8353, 12332, 3298, 672]","[266192, 50, 174430, 183394, 2655, 157969, 172, 18602, 284083, 176494]"
"[2529, 1230, 5379, 9711]","[266192, 50, 174430, 183394, 2655, 157969, 172, 18602, 284083, 176494]"
"[12178, 5801, 1818, 6890]","[266192, 50, 174430, 183394, 2655, 157969, 172, 18602, 284083, 176494]"
"[1487, 10815, 1352, 3937]","[266192, 50, 174430, 183394, 2655, 157969, 172, 18602, 284083, 176494]"
"[9879, 3801, 10927, 8845]","[266192, 50, 174430, 183394, 2655, 157969, 172, 18602, 284083, 176494]"
"[77, 2442, 752, 3960]","[266192, 50, 174430, 183394, 2655, 157969, 172, 18602, 284083, 176494]"
"[11753, 231, 412, 10321]","[266192, 50, 174430, 183394, 2655, 157969, 172, 18602, 284083, 176494]"
"[9088, 5137, 1655, 10671]","[266192, 50, 174430, 183394, 2655, 157969, 172, 18602, 284083, 176494]"
"[11448, 12025, 9460, 10162]","[266192, 50, 174430, 183394, 2655, 157969, 172, 18602, 284083, 176494]"
"[5897, 8051, 14025, 12061]","[266192, 50, 174430, 183394, 2655, 157969, 172, 18602, 284083, 176494]"
"[614, 7905, 13424, 8883]","[266192, 50, 174430, 183394, 2655, 157969, 172, 18602, 284083, 176494]"
"[2153, 6532, 3139, 8022]","[266192, 50, 174430, 183394, 2655, 157969, 172, 18602, 284083, 176494]"
"[14392, 477, 4329, 6275]","[266192, 50, 174430, 183394, 2655, 157969, 172, 18602, 284083, 176494]"
"[1379, 4675, 450, 6784]","[266192, 50, 174430, 183394, 2655, 157969, 172, 18602, 284083, 176494]"
"[9698, 10351, 10457, 5642]","[266192, 50, 174430, 183394, 2655, 157969, 172, 18602, 284083, 176494]"
"[4354, 3896, 3832, 4633]","[266192, 50, 174430, 183394, 2655, 157969, 172, 18602, 284083, 176494]"
"[9515, 3154, 6891, 4188]","[266192, 50, 174430, 183394, 2655, 157969, 172, 18602, 284083, 176494]"
"[1645, 3863, 8182, 11112]","[266192, 50, 174430, 183394, 2655, 157969, 172, 18602, 284083, 176494]"
"[6471, 8084, 97, 11345]","[266192, 50, 174430, 183394, 2655, 157969, 172, 18602, 284083, 176494]"
"[5153, 10568, 2777, 10526]","[266192, 50, 174430, 183394, 2655, 157969, 172, 18602, 284083, 176494]"
"[8282, 2621, 1566, 1864]","[266192, 50, 174430, 183394, 2655, 157969, 172, 18602, 284083, 176494]"
"[10585, 1241, 5964, 7303]","[266192, 50, 174430, 183394, 2655, 157969, 172, 18602, 284083, 176494]"
"[9350, 5035, 2261, 12491]","[266192, 50, 174430, 183394, 2655, 157969, 172, 18602, 284083, 176494]"
"[2193, 794, 6227, 12653]","[266192, 50, 174430, 183394, 2655, 157969, 172, 18602, 284083, 176494]"
"[5566, 12968, 14699, 10747]","[266192, 50, 174430, 183394, 2655, 157969, 172, 18602, 284083, 176494]"
"[13424, 6137, 14199, 193]","[266192, 50, 174430, 183394, 2655, 157969, 172, 18602, 284083, 176494]"
"[10325, 8949, 11016, 327]","[266192, 50, 174430, 183394, 2655, 157969, 172, 18602, 284083, 176494]"
"[3145, 6243, 1550, 12538]","[266192, 50, 174430, 183394, 2655, 157969, 172, 18602, 284083, 176494]"
"[4992, 7469, 2165, 4174]","[266192, 50, 174430, 183394, 2655, 157969, 172, 18602, 284083, 176494]"
