group_members,recommendations
"[10523, 497, 7233, 10049]","[312484, 10906, 308119, 115746, 266192, 8217, 180263, 284083, 174430, 18602]"
"[8542, 10367, 1343, 9679]","[115746, 8217, 312484, 10906, 308119, 266192, 180263, 193867, 18602, 174430]"
"[7221, 1229, 828, 7487]","[174430, 8217, 312484, 18602, 10906, 180263, 308119, 115746, 2655, 266192]"
"[998, 837, 4527, 8570]","[174430, 8217, 312484, 18602, 2655, 10906, 308119, 115746, 180263, 193867]"
"[14030, 2672, 12906, 1654]","[115746, 8217, 312484, 2655, 10906, 308119, 174430, 18602, 180263, 284083]"
"[521, 901, 6168, 3865]","[266192, 312484, 308119, 10906, 115746, 18602, 2655, 180263, 284083, 174430]"
"[1199, 1069, 11736, 13764]","[115746, 8217, 308119, 2655, 266192, 312484, 18602, 174430, 10906, 193867]"
"[6927, 7932, 1581, 5937]","[174430, 115746, 18602, 308119, 180263, 10906, 266192, 312484, 193867, 176494]"
"[3237, 10585, 13353, 13875]","[174430, 8217, 312484, 18602, 2655, 10906, 180263, 284083, 115746, 266192]"
"[13461, 1197, 871, 8997]","[312484, 10906, 180263, 308119, 284083, 174430, 266192, 193867, 115746, 18602]"
"[6425, 1748, 4513, 7757]","[115746, 2655, 10906, 308119, 180263, 193867, 8217, 312484, 18602, 284083]"
"[3553, 8762, 7792, 3672]","[312484, 10906, 180263, 308119, 193867, 115746, 8217, 174430, 284083, 183394]"
"[5337, 2092, 1410, 4243]","[174430, 115746, 10906, 180263, 284083, 266192, 8217, 312484, 308119, 2655]"
"[8353, 12332, 3298, 672]","[266192, 115746, 8217, 312484, 18602, 10906, 180263, 308119, 174430, 2655]"
"[2529, 1230, 5379, 9711]","[2655, 10906, 180263, 308119, 284083, 193867, 115746, 266192, 312484, 18602]"
"[12178, 5801, 1818, 6890]","[266192, 115746, 312484, 10906, 180263, 308119, 8217, 18602, 2655, 174430]"
"[1487, 10815, 1352, 3937]","[115746, 8217, 312484, 18602, 2655, 10906, 308119, 174430, 180263, 284083]"
"[9879, 3801, 10927, 8845]","[312484, 10906, 308119, 174430, 266192, 180263, 284083, 193867, 115746, 8217]"
"[77, 2442, 752, 3960]","[115746, 10906, 180263, 308119, 174430, 312484, 2655, 266192, 8217, 284083]"
"[11753, 231, 412, 10321]","[115746, 312484, 308119, 180263, 10906, 174430, 266192, 8217, 284083, 18602]"
"[9088, 5137, 1655, 10671]","[115746, 18602, 10906, 180263, 308119, 193867, 266192, 312484, 8217, 174430]"
"[11448, 12025, 9460, 10162]","[174430, 115746, 266192, 312484, 2655, 180263, 308119, 10906, 18602, 284083]"
"[5897, 8051, 14025, 12061]","[115746, 312484, 2655, 10906, 308119, 174430, 266192, 8217, 18602, 180263]"
"[614, 7905, 13424, 8883]","[174430, 115746, 8217, 18602, 10906, 266192, 312484, 2655, 308119, 180263]"
"[2153, 6532, 3139, 8022]","[312484, 308119, 180263, 10906, 193867, 115746, 266192, 8217, 18602, 174430]"
"[14392, 477, 4329, 6275]","[312484, 18602, 308119, 10906, 115746, 8217, 2655, 180263, 174430, 266192]"
"[1379, 4675, 450, 6784]","[115746, 8217, 312484, 18602, 10906, 180263, 308119, 174430, 284083, 2655]"
"[9698, 10351, 10457, 5642]","[115746, 2655, 10906, 308119, 174430, 266192, 312484, 180263, 8217, 18602]"
"[4354, 3896, 3832, 4633]","[2655, 10906, 308119, 115746, 8217, 312484, 284083, 193867, 18602, 180263]"
"[9515, 3154, 6891, 4188]","[8217, 10906, 308119, 284083, 174430, 115746, 2655, 180263, 183394, 18602]"
"[1645, 3863, 8182, 11112]","[266192, 18602, 2655, 10906, 180263, 308119, 174430, 115746, 312484, 284083]"
"[6471, 8084, 97, 11345]","[174430, 115746, 312484, 10906, 308119, 284083, 266192, 18602, 2655, 180263]"
"[5153, 10568, 2777, 10526]","[266192, 312484, 18602, 10906, 308119, 2655, 284083, 193867, 174430, 8217]"
"[8282, 2621, 1566, 1864]","[174430, 115746, 10906, 308119, 8217, 180263, 183394, 312484, 266192, 193867]"
"[10585, 1241, 5964, 7303]","[174430, 115746, 10906, 180263, 266192, 8217, 312484, 18602, 284083, 308119]"
"[9350, 5035, 2261, 12491]","[115746, 10906, 2655, 8217, 174430, 266192, 312484, 180263, 18602, 308119]"
"[2193, 794, 6227, 12653]","[174430, 115746, 8217, 312484, 18602, 180263, 10906, 2655, 308119, 266192]"
"[5566, 12968, 14699, 10747]","[115746, 266192, 8217, 312484, 18602, 10906, 180263, 308119, 174430, 2655]"
"[13424, 6137, 14199, 193]","[174430, 115746, 10906, 180263, 18602, 2655, 308119, 266192, 312484, 8217]"
"[10325, 8949, 11016, 327]","[174430, 115746, 8217, 312484, 10906, 308119, 18602, 2655, 180263, 266192]"
"[3145, 6243, 1550, 12538]","[115746, 18602, 308119, 10906, 174430, 8217, 312484, 2655, 180263, 193867]"
"[4992, 7469, 2165, 4174]","[8217, 18602, 10906, 308119, 115746, 2655, 193867, 284083, 180263, 217863]"
"[5687, 8200, 89, 195]","[8217, 18602, 10906, 308119, 115746, 312484, 193867, 284083, 174430, 266192]"
"[891, 2514, 8043, 2776]","[8217, 312484, 18602, 10906, 180263, 308119, 115746, 266192, 2655, 174430]"
"[3931, 616, 11612, 8722]","[174430, 8217, 10906, 308119, 193867, 115746, 312484, 2655, 18602, 180263]"
"[2871, 2526, 3974, 361]","[115746, 312484, 2655, 10906, 308119, 8217, 180263, 183394, 174430, 266192]"
"[1480, 12881, 4499, 4681]","[266192, 312484, 10906, 180263, 308119, 2655, 193867, 183394, 115746, 174430]"
"[3118, 12000, 4726, 1793]","[266192, 2655, 312484, 10906, 284083, 174430, 115746, 308119, 8217, 180263]"
"[8307, 7757, 8762, 403]","[266192, 312484, 18602, 10906, 308119, 115746, 180263, 193867, 2655, 284083]"
"[3330, 112, 5314, 8304]","[115746, 266192, 312484, 308119, 10906, 8217, 18602, 284083, 180263, 2655]"
"[5830, 2534, 14091, 9333]","[115746, 312484, 10906, 266192, 8217, 18602, 308119, 193867, 183394, 180263]"
"[6930, 3164, 5811, 6811]","[115746, 10906, 308119, 193867, 312484, 18602, 180263, 174430, 284083, 217863]"
"[8490, 5971, 13014, 5447]","[115746, 312484, 10906, 308119, 174430, 266192, 8217, 2655, 18602, 180263]"
"[313, 4257, 1539, 1568]","[174430, 115746, 308119, 10906, 193867, 266192, 312484, 180263, 284083, 8217]"
"[8760, 9303, 9520, 1133]","[266192, 10906, 308119, 174430, 115746, 8217, 312484, 2655, 193867, 18602]"
