group_members,recommendations
"[618, 8228, 10908, 8996]","[312484, 18602, 10906, 8217, 266192, 2655, 308119, 193867, 115746, 180263]"
"[7527, 7128, 8575, 2042]","[266192, 10906, 308119, 174430, 8217, 180263, 312484, 18602, 284083, 193867]"
"[5833, 14199, 7060, 5671]","[8217, 18602, 2655, 10906, 180263, 308119, 174430, 115746, 312484, 183394]"
"[2978, 1254, 9446, 2354]","[10906, 308119, 115746, 8217, 180263, 284083, 193867, 174430, 312484, 217863]"
"[12466, 2626, 9807, 8462]","[266192, 8217, 312484, 2655, 10906, 308119, 284083, 180263, 18602, 174430]"
"[13032, 3448, 751, 6721]","[174430, 115746, 8217, 18602, 2655, 10906, 308119, 312484, 266192, 284083]"
"[2926, 4359, 3112, 1254]","[308119, 115746, 174430, 312484, 10906, 180263, 193867, 8217, 2655, 18602]"
"[10947, 4582, 6864, 641]","[174430, 10906, 18602, 312484, 180263, 308119, 266192, 115746, 284083, 8217]"
"[11030, 2069, 6296, 3154]","[115746, 10906, 308119, 174430, 8217, 312484, 18602, 2655, 284083, 193867]"
"[123, 9711, 6727, 9337]","[266192, 8217, 312484, 10906, 180263, 284083, 174430, 115746, 308119, 183394]"
"[13447, 9501, 5898, 3051]","[174430, 115746, 8217, 18602, 2655, 10906, 180263, 308119, 312484, 284083]"
"[2644, 13694, 4188, 9198]","[8217, 308119, 2655, 10906, 174430, 312484, 18602, 180263, 115746, 266192]"
"[6750, 1820, 11181, 8462]","[266192, 312484, 10906, 180263, 308119, 8217, 18602, 2655, 284083, 115746]"
"[4074, 7460, 5827, 10391]","[174430, 312484, 18602, 2655, 10906, 308119, 8217, 180263, 115746, 284083]"
"[10721, 12810, 5242, 6226]","[115746, 266192, 312484, 308119, 174430, 8217, 18602, 176494, 193867, 10906]"
"[5461, 1715, 3802, 4829]","[266192, 115746, 312484, 10906, 308119, 174430, 2655, 180263, 284083, 18602]"
"[128, 9317, 402, 11087]","[115746, 8217, 312484, 10906, 180263, 174430, 308119, 193867, 284083, 18602]"
"[6020, 4215, 4230, 318]","[115746, 10906, 308119, 266192, 8217, 312484, 18602, 180263, 284083, 174430]"
"[5971, 8418, 4369, 2444]","[115746, 10906, 180263, 308119, 174430, 18602, 284083, 193867, 8217, 217863]"
"[4675, 2905, 12332, 4939]","[115746, 8217, 312484, 18602, 2655, 10906, 180263, 284083, 266192, 308119]"
"[8574, 11749, 9508, 8022]","[115746, 312484, 2655, 308119, 10906, 180263, 174430, 266192, 18602, 284083]"
"[2406, 3650, 9099, 2133]","[266192, 10906, 308119, 2655, 180263, 193867, 174430, 8217, 312484, 284083]"
"[5261, 14125, 11271, 10429]","[115746, 266192, 312484, 2655, 10906, 180263, 308119, 284083, 183394, 174430]"
"[1627, 5759, 1769, 95]","[115746, 10906, 180263, 308119, 174430, 266192, 8217, 312484, 284083, 183394]"
"[3397, 2839, 3041, 6470]","[266192, 115746, 10906, 308119, 8217, 183394, 174430, 312484, 180263, 284083]"
