"group_members","recommendations"
"[3109, 3231, 1816, 7816]","[13, 30549, 36218, 148228, 9209, 70323, 167791, 178900, 822, 68448]"
"[2591, 2157, 658, 7808]","[13, 30549, 822, 68448, 36218, 148228, 9209, 70323, 167791, 178900]"
"[6661, 1989, 2111, 7327]","[13, 30549, 822, 68448, 148228, 9209, 70323, 167791, 178900, 36218]"
"[7547, 7050, 4954, 6941]","[13, 30549, 68448, 36218, 148228, 9209, 167791, 178900, 822, 70323]"
"[6661, 2111, 7327, 1989]","[13, 30549, 822, 68448, 148228, 9209, 70323, 167791, 178900, 36218]"
"[7327, 1989, 6661, 2111]","[13, 30549, 822, 68448, 148228, 9209, 70323, 167791, 178900, 36218]"
"[3109, 3231, 1816, 7816]","[13, 30549, 36218, 148228, 9209, 70323, 167791, 178900, 822, 68448]"
"[7394, 7547, 7050, 3100]","[13, 30549, 36218, 148228, 9209, 167791, 178900, 822, 68448, 31260]"
"[4954, 7394, 7050, 7547]","[13, 30549, 68448, 36218, 148228, 9209, 167791, 178900, 822, 70323]"
"[7808, 2591, 2436, 2157]","[13, 30549, 822, 68448, 36218, 148228, 9209, 70323, 167791, 178900]"
"[3100, 7050, 7547, 7394]","[13, 30549, 36218, 148228, 9209, 167791, 178900, 822, 31260, 68448]"
"[7547, 7050, 5844, 7394]","[13, 30549, 68448, 36218, 148228, 9209, 167791, 178900, 822, 70323]"
"[5965, 5844, 7050, 6941]","[13, 30549, 68448, 36218, 148228, 9209, 167791, 178900, 822, 70323]"
"[1816, 7816, 3231, 3109]","[13, 30549, 36218, 148228, 9209, 70323, 167791, 178900, 68448, 822]"
"[5965, 5844, 7547, 7050]","[13, 30549, 68448, 36218, 148228, 9209, 167791, 178900, 822, 70323]"
"[658, 2157, 2591, 7808]","[13, 30549, 822, 68448, 36218, 148228, 9209, 70323, 167791, 178900]"
"[658, 2436, 2157, 2591]","[13, 30549, 822, 68448, 36218, 148228, 9209, 70323, 167791, 178900]"
"[1989, 7327, 6661, 2111]","[13, 30549, 822, 68448, 148228, 9209, 70323, 167791, 178900, 36218]"
"[6851, 3501, 290, 4580]","[13, 30549, 822, 36218, 148228, 9209, 70323, 167791, 178900, 68448]"
"[2591, 7808, 658, 2157]","[13, 30549, 822, 68448, 36218, 148228, 9209, 70323, 167791, 178900]"
"[6941, 7050, 5844, 4954]","[13, 30549, 68448, 36218, 148228, 9209, 167791, 178900, 822, 70323]"
"[658, 2157, 2436, 2591]","[13, 30549, 822, 68448, 36218, 148228, 9209, 70323, 167791, 178900]"
"[3109, 1816, 3231, 7816]","[13, 30549, 36218, 148228, 9209, 70323, 167791, 178900, 822, 68448]"
"[290, 6851, 4580, 3501]","[13, 30549, 822, 36218, 148228, 9209, 70323, 167791, 178900, 68448]"
"[7808, 2591, 658, 2157]","[13, 30549, 822, 68448, 36218, 148228, 9209, 70323, 167791, 178900]"
"[2157, 2436, 658, 2591]","[13, 30549, 822, 68448, 36218, 148228, 9209, 70323, 167791, 178900]"
"[2111, 1989, 6661, 7327]","[13, 30549, 822, 68448, 148228, 9209, 70323, 167791, 178900, 36218]"
"[2111, 7327, 6661, 1989]","[13, 30549, 822, 68448, 148228, 9209, 70323, 167791, 178900, 36218]"
"[290, 6851, 3501, 4580]","[13, 30549, 822, 36218, 148228, 9209, 70323, 167791, 178900, 68448]"
"[2111, 7327, 1989, 6661]","[13, 30549, 822, 68448, 148228, 9209, 70323, 167791, 178900, 36218]"
"[2591, 2436, 658, 2157]","[13, 30549, 822, 68448, 36218, 148228, 9209, 70323, 167791, 178900]"
"[1816, 3231, 3109, 7816]","[13, 30549, 36218, 148228, 9209, 70323, 167791, 178900, 68448, 822]"
"[3109, 1816, 7816, 3231]","[13, 30549, 36218, 148228, 9209, 70323, 167791, 178900, 822, 68448]"
"[7394, 5844, 7050, 6941]","[13, 30549, 68448, 36218, 148228, 9209, 167791, 178900, 822, 31260]"
"[2111, 1989, 7327, 6661]","[13, 30549, 822, 68448, 148228, 9209, 70323, 167791, 178900, 36218]"
"[290, 3501, 6851, 4580]","[13, 30549, 822, 36218, 148228, 9209, 70323, 167791, 178900, 68448]"
"[6851, 290, 3501, 4580]","[13, 30549, 822, 36218, 148228, 9209, 70323, 167791, 178900, 68448]"
"[6661, 2111, 1989, 7327]","[13, 30549, 822, 68448, 148228, 9209, 70323, 167791, 178900, 36218]"
"[658, 2591, 7808, 2157]","[13, 30549, 822, 68448, 36218, 148228, 9209, 70323, 167791, 178900]"
"[3100, 7050, 7547, 7394]","[13, 30549, 36218, 148228, 9209, 167791, 178900, 822, 31260, 68448]"
"[6661, 7327, 1989, 2111]","[13, 30549, 822, 68448, 148228, 9209, 70323, 167791, 178900, 36218]"
"[7394, 7050, 5844, 5965]","[13, 30549, 68448, 36218, 148228, 9209, 167791, 178900, 822, 31260]"
"[7816, 1816, 3109, 3231]","[13, 30549, 36218, 148228, 9209, 70323, 167791, 178900, 822, 68448]"
"[4580, 290, 3501, 6851]","[13, 30549, 822, 36218, 148228, 9209, 70323, 167791, 178900, 68448]"
"[2591, 658, 2157, 2436]","[13, 30549, 822, 68448, 36218, 148228, 9209, 70323, 167791, 178900]"
