"group_members","recommendations"
"[3109, 3231, 1816, 7816]","[822, 3076, 2651, 120677, 36218, 31260, 108687, 40692, 13, 148228]"
"[2591, 2157, 658, 7808]","[36218, 68448, 147020, 822, 70323, 3076, 148228, 478, 173346, 129622]"
"[6661, 1989, 2111, 7327]","[36218, 3076, 148228, 70323, 173346, 120677, 169786, 199792, 126163, 266192]"
"[7547, 7050, 4954, 6941]","[822, 3076, 120677, 169786, 40692, 108687, 31260, 2651, 13, 220308]"
"[6661, 2111, 7327, 1989]","[36218, 3076, 148228, 70323, 173346, 120677, 169786, 199792, 126163, 266192]"
"[7327, 1989, 6661, 2111]","[36218, 3076, 148228, 70323, 173346, 120677, 169786, 199792, 126163, 266192]"
"[3109, 3231, 1816, 7816]","[822, 3076, 2651, 120677, 36218, 31260, 108687, 40692, 13, 148228]"
"[7394, 7547, 7050, 3100]","[822, 3076, 120677, 36218, 169786, 31260, 40692, 2651, 108687, 13]"
"[4954, 7394, 7050, 7547]","[822, 3076, 120677, 31260, 169786, 2651, 36218, 40692, 108687, 13]"
"[7808, 2591, 2436, 2157]","[36218, 70323, 147020, 822, 178900, 244992, 68448, 30549, 129622, 254640]"
"[3100, 7050, 7547, 7394]","[822, 3076, 120677, 36218, 169786, 31260, 40692, 2651, 108687, 13]"
"[7547, 7050, 5844, 7394]","[822, 3076, 2651, 120677, 31260, 108687, 31594, 36218, 172, 28720]"
"[5965, 5844, 7050, 6941]","[822, 2651, 3076, 120677, 31260, 163412, 143884, 108687, 36218, 173346]"
"[1816, 7816, 3231, 3109]","[822, 3076, 2651, 120677, 36218, 31260, 108687, 40692, 13, 148228]"
"[5965, 5844, 7547, 7050]","[822, 2651, 3076, 120677, 31260, 31594, 108687, 172, 28720, 40692]"
"[658, 2157, 2591, 7808]","[36218, 68448, 147020, 822, 70323, 3076, 148228, 478, 173346, 129622]"
"[658, 2436, 2157, 2591]","[36218, 70323, 822, 147020, 68448, 3076, 129622, 478, 30549, 173346]"
"[1989, 7327, 6661, 2111]","[36218, 3076, 148228, 70323, 173346, 120677, 169786, 199792, 126163, 266192]"
"[6851, 3501, 290, 4580]","[822, 3076, 2651, 148228, 230802, 173346, 36218, 54043, 163412, 478]"
"[2591, 7808, 658, 2157]","[36218, 68448, 147020, 822, 70323, 3076, 148228, 478, 173346, 129622]"
"[6941, 7050, 5844, 4954]","[822, 2651, 3076, 120677, 31260, 40692, 108687, 13, 66589, 28720]"
"[658, 2157, 2436, 2591]","[36218, 70323, 822, 147020, 68448, 3076, 129622, 478, 30549, 173346]"
"[3109, 1816, 3231, 7816]","[822, 3076, 2651, 120677, 36218, 31260, 108687, 40692, 13, 148228]"
"[290, 6851, 4580, 3501]","[822, 3076, 2651, 148228, 230802, 173346, 36218, 54043, 163412, 478]"
"[7808, 2591, 658, 2157]","[36218, 68448, 147020, 822, 70323, 3076, 148228, 478, 173346, 129622]"
"[2157, 2436, 658, 2591]","[36218, 70323, 822, 147020, 68448, 3076, 129622, 478, 30549, 173346]"
"[2111, 1989, 6661, 7327]","[36218, 3076, 148228, 70323, 173346, 120677, 169786, 199792, 126163, 266192]"
"[2111, 7327, 6661, 1989]","[36218, 3076, 148228, 70323, 173346, 120677, 169786, 199792, 126163, 266192]"
"[290, 6851, 3501, 4580]","[822, 3076, 2651, 148228, 230802, 173346, 36218, 54043, 163412, 478]"
"[2111, 7327, 1989, 6661]","[36218, 3076, 148228, 70323, 173346, 120677, 169786, 199792, 126163, 266192]"
"[2591, 2436, 658, 2157]","[36218, 70323, 822, 147020, 68448, 3076, 129622, 478, 30549, 173346]"
