"group_members","recommendations"
"[6411, 715, 1947, 7891]","[279613, 263996, 55952, 274428, 213497, 6866, 63170, 166071, 144506, 99308]"
"[7272, 2581, 1602, 2015]","[279613, 263996, 213497, 55952, 6866, 99308, 63170, 166071, 274428, 144506]"
"[2368, 1396, 3237, 460]","[279613, 263996, 274428, 213497, 6866, 166071, 55952, 63170, 99308, 99392]"
"[6377, 3848, 4944, 6547]","[263996, 279613, 6866, 213497, 274428, 166071, 55952, 144506, 63170, 99392]"
"[4526, 4484, 3751, 6411]","[279613, 263996, 274428, 213497, 63170, 6866, 166071, 55952, 144506, 99392]"
"[6614, 2436, 5111, 3418]","[263996, 279613, 274428, 166071, 99392, 213497, 6866, 99308, 55952, 63170]"
"[2950, 6860, 4889, 1281]","[279613, 263996, 99392, 213497, 55952, 6866, 274428, 166071, 99308, 144506]"
"[7881, 951, 2335, 384]","[279613, 274428, 263996, 55952, 6866, 213497, 99392, 63170, 166071, 99308]"
"[2436, 2913, 6345, 5603]","[263996, 274428, 279613, 144506, 213497, 6866, 99392, 166071, 55952, 99308]"
"[2307, 4021, 3299, 5819]","[279613, 274428, 263996, 213497, 63170, 55952, 6866, 99308, 166071, 99392]"
"[5163, 3471, 500, 2634]","[263996, 279613, 274428, 99308, 6866, 99392, 213497, 144506, 166071, 55952]"
"[1012, 2864, 1396, 971]","[279613, 274428, 263996, 6866, 213497, 144506, 63170, 166071, 99392, 99308]"
"[3675, 1659, 5738, 1512]","[279613, 263996, 274428, 55952, 213497, 6866, 63170, 99392, 166071, 99308]"
"[1281, 7145, 5762, 4484]","[63170, 274428, 263996, 55952, 279613, 213497, 6866, 166071, 99392, 308970]"
"[3576, 2930, 7145, 3423]","[274428, 263996, 279613, 213497, 55952, 6866, 63170, 99308, 99392, 166071]"
"[7255, 3234, 6763, 7547]","[279613, 263996, 213497, 55952, 274428, 6866, 99308, 63170, 166071, 99392]"
"[3426, 4580, 1855, 1317]","[274428, 279613, 263996, 99308, 6866, 213497, 55952, 166071, 144506, 99392]"
"[6386, 7858, 6345, 3548]","[279613, 274428, 263996, 213497, 6866, 63170, 55952, 166071, 99392, 144506]"
"[6614, 4413, 688, 3016]","[263996, 279613, 55952, 63170, 274428, 166071, 99392, 213497, 99308, 6866]"
"[1422, 1005, 6291, 3798]","[279613, 263996, 274428, 55952, 6866, 213497, 166071, 99308, 144506, 99392]"
"[2285, 3914, 1040, 3461]","[279613, 263996, 213497, 99392, 166071, 6866, 274428, 63170, 55952, 99308]"
"[3848, 68, 7992, 460]","[279613, 55952, 274428, 263996, 213497, 6866, 166071, 99308, 179182, 63170]"
"[3060, 4155, 4555, 5170]","[279613, 274428, 263996, 55952, 213497, 6866, 166071, 99308, 63170, 99392]"
"[5170, 4414, 4663, 3234]","[274428, 279613, 263996, 213497, 6866, 99308, 144506, 55952, 99392, 166071]"
"[4258, 3548, 1904, 7248]","[279613, 263996, 274428, 6866, 213497, 55952, 99392, 166071, 144506, 63170]"
"[1040, 7856, 4674, 2930]","[263996, 279613, 213497, 99392, 166071, 6866, 63170, 144506, 274428, 55952]"
"[4537, 555, 5351, 715]","[279613, 263996, 63170, 213497, 274428, 6866, 144506, 55952, 166071, 99308]"
