BGGId,Rating,Username
0,6.5,0
0,5.0,3
0,5.0,4
0,5.0,5
0,4.0,6
0,3.0,7
2,5.0,10
2,5.0,11
2,5.0,12
2,4.5,1
2,4.0,14
3,5.0,15
3,5.0,17
3,5.0,18
3,4.0,20
3,3.0,21
5,6.0,23
5,4.0,24
6,6.0,25
6,5.0,26
7,6.0,28
7,4.0,29
7,2.0,30
8,4.0,33
9,6.5,34
9,6.5,35
9,6.0,36
9,6.0,37
9,6.0,38
9,6.0,39
9,6.0,40
9,6.0,42
9,6.0,43
9,5.0,44
9,5.0,45
9,2.0,47
10,6.0,48
10,5.0,49
10,4.0,50
11,7.0,52
11,7.0,53
11,6.0,55
11,4.0,58
12,4.0,60
12,3.0,61
13,5.0,63
13,4.0,64
13,2.0,66
14,7.0,67
14,7.0,68
14,6.5,69
14,6.5,70
14,6.0,71
14,4.0,72
15,3.5,73
16,5.0,75
16,5.0,76
16,4.0,78
16,3.0,79
17,5.0,80
17,4.0,2
17,4.0,81
17,4.0,82
17,4.0,83
17,4.0,84
17,3.0,85
17,3.0,86
18,5.0,89
18,4.0,90
18,3.0,91
19,4.0,0
19,4.0,92
19,4.0,93
19,3.5,94
19,3.0,95
19,3.0,96
19,3.0,97
19,2.0,98
19,2.0,99
19,2.0,100
19,2.0,101
20,5.0,103
20,5.0,104
20,4.0,106
20,4.0,107
20,3.0,108
20,3.0,109
21,5.8,110
21,5.0,112
21,5.0,113
21,5.0,114
21,5.0,115
21,4.45,116
21,3.0,119
22,4.0,121
22,4.0,122
22,3.0,123
22,1.0,127
22,1.0,128
22,1.0,129
23,5.0,131
23,4.0,132
23,4.0,134
23,4.0,135
23,1.0,136
23,1.0,137
24,5.0,138
24,5.0,139
24,5.0,140
24,3.96,116
25,5.6,141
25,5.4,142
25,3.0,144
26,4.0,145
26,3.0,146
27,5.0,148
27,4.0,150
27,4.0,151
28,6.0,153
28,6.0,155
28,6.0,157
28,4.0,160
30,5.5,163
30,5.0,164
30,5.0,165
30,5.0,72
30,5.0,166
30,5.0,167
30,4.0,168
31,4.0,171
31,3.0,172
32,5.0,174
32,5.0,175
32,5.0,176
32,4.0,177
32,3.0,178
32,3.0,179
32,2.0,180
33,4.0,183
35,6.0,188
35,6.0,189
36,7.0,190
36,7.0,192
36,6.5,193
36,6.0,194
37,4.0,196
37,3.0,197
37,1.0,198
37,1.0,199
38,7.0,200
38,7.0,201
38,6.5,202
38,6.0,203
38,5.0,205
38,5.0,207
39,6.0,208
39,5.0,209
39,5.0,210
39,4.0,21
41,6.0,213
41,6.0,214
41,6.0,217
41,5.0,218
41,4.0,219
41,4.0,220
42,5.0,222
42,5.0,223
42,4.0,225
42,3.0,226
42,3.0,227
42,3.0,228
43,2.0,229
44,6.0,231
44,6.0,232
44,6.0,234
44,5.0,214
44,4.9,236
44,4.0,237
44,4.0,238
44,3.0,212
45,6.0,240
45,6.0,241
45,5.0,242
45,4.0,244
45,4.0,245
46,2.0,246
46,2.0,247
47,6.0,248
47,4.5,252
47,4.5,253
47,4.0,254
48,3.0,255
49,6.0,256
49,6.0,257
49,5.0,258
49,5.0,259
49,4.0,261
50,6.0,264
50,5.0,265
50,3.0,266
50,2.0,267
51,5.4,270
51,5.0,271
51,5.0,272
51,5.0,273
52,6.8,275
52,6.5,277
52,6.0,278
52,6.0,279
52,6.0,280
52,5.0,88
52,3.0,281
53,6.5,282
53,6.0,284
53,6.0,285
53,6.0,286
53,6.0,287
54,5.0,289
55,5.0,291
56,5.0,293
56,4.0,295
56,4.0,297
57,6.0,298
57,5.6,301
57,5.0,302
57,5.0,303
57,5.0,304
57,5.0,305
57,3.0,195
57,2.0,306
0,8.0,308
0,8.0,309
0,8.0,310
0,8.0,311
0,7.0,313
0,7.0,316
1,8.0,317
1,8.0,318
1,7.5,319
1,7.5,320
1,7.0,321
1,7.0,322
1,7.0,323
1,7.0,324
1,6.0,103
1,6.0,104
1,5.0,325
1,4.5,326
1,4.0,292
2,9.0,327
2,8.0,328
2,7.5,330
2,7.4,142
2,7.0,331
2,7.0,333
2,7.0,334
2,6.0,336
2,6.0,337
2,6.0,338
3,7.0,339
3,7.0,342
3,6.0,343
3,6.0,65
3,6.0,344
3,6.0,345
4,7.0,347
4,6.8,349
4,6.75,166
4,6.5,350
4,6.0,207
4,6.0,322
4,6.0,351
5,8.0,355
5,8.0,356
5,7.5,357
5,7.0,358
5,7.0,133
5,6.0,359
5,6.0,317
6,10.0,360
6,8.0,361
6,7.5,362
6,7.0,363
6,6.0,364
6,6.0,365
7,8.0,323
7,8.0,367
7,7.0,370
7,7.0,371
7,7.0,372
7,7.0,373
7,7.0,374
7,7.0,375
7,7.0,376
7,6.8,377
8,7.0,382
8,6.4,384
8,6.0,385
8,6.0,386
8,5.0,387
8,5.0,388
9,9.0,390
9,8.0,392
9,7.5,395
9,7.0,396
9,7.0,397
9,7.0,398
9,7.0,399
9,7.0,400
10,8.0,402
10,8.0,403
10,7.0,404
10,7.0,405
10,7.0,406
10,6.0,408
10,6.0,411
11,9.0,412
11,8.0,414
11,8.0,236
12,6.0,418
12,6.0,419
12,6.0,421
12,6.0,423
12,5.0,427
12,4.8,428
13,8.0,430
13,6.5,431
13,6.5,320
13,6.5,433
13,6.0,435
14,9.0,437
14,9.0,381
14,8.5,438
14,8.0,439
14,8.0,440
14,8.0,441
14,7.5,442
58,10.0,443
58,10.0,444
58,10.0,445
58,9.0,446
58,9.0,447
58,9.0,448
58,9.0,450
58,9.0,452
58,8.5,453
58,8.0,455
58,7.5,456
15,7.0,457
15,7.0,458
15,6.5,459
15,6.5,460
15,6.5,461
15,6.5,462
15,5.5,463
15,5.0,467
15,5.0,468
15,5.0,469
15,4.0,470
15,4.0,471
16,8.5,472
16,8.0,473
16,7.5,475
16,7.0,476
16,6.0,479
17,9.0,480
17,8.0,481
17,8.0,482
17,7.0,483
17,6.5,484
17,6.0,486
17,6.0,487
17,6.0,341
17,6.0,488
17,5.0,489
17,5.0,490
17,5.0,491
17,5.0,492
17,5.0,493
18,10.0,494
18,9.0,495
18,8.0,2
18,7.0,496
18,7.0,497
18,6.5,3
18,6.5,499
18,6.0,500
19,5.0,501
19,5.0,502
19,5.0,503
19,5.0,482
19,4.5,504
20,8.0,507
20,7.5,508
20,7.0,509
20,7.0,510
20,6.0,512
20,5.0,24
21,8.0,513
21,8.0,514
21,8.0,515
21,7.0,308
21,7.0,516
21,7.0,517
21,7.0,518
21,6.0,521
21,6.0,522
21,6.0,526
22,7.5,527
22,6.8,528
22,6.0,530
22,6.0,531
22,5.4,533
23,10.0,534
23,9.0,535
23,8.0,536
23,8.0,537
23,8.0,538
23,8.0,540
23,7.5,541
23,7.0,543
23,7.0,544
23,7.0,545
23,6.0,547
23,6.0,508
23,6.0,548
23,6.0,277
23,5.5,550
23,5.0,551
23,5.0,552
24,7.5,9
24,7.5,553
24,7.5,554
24,7.0,556
24,6.75,557
25,8.5,558
25,7.03,560
25,7.0,158
25,6.5,564
25,6.0,565
25,6.0,566
26,10.0,567
26,7.5,569
26,7.0,570
26,6.0,572
26,5.0,420
26,5.0,574
26,5.0,575
26,5.0,576
27,9.0,577
27,8.0,579
27,7.0,580
27,7.0,581
27,6.0,582
27,6.0,583
27,6.0,584
28,8.0,246
28,7.9,371
28,7.2,587
28,7.0,259
28,6.5,592
28,6.5,593
28,6.4,594
29,7.0,595
29,6.0,597
29,6.0,598
29,6.0,599
29,5.0,600
29,4.0,603
30,10.0,541
30,7.0,605
30,7.0,606
30,7.0,37
30,7.0,347
30,6.25,508
30,6.0,424
30,6.0,607
30,6.0,608
30,6.0,609
31,8.5,610
31,7.5,310
31,7.0,613
31,6.5,614
31,6.0,618
31,6.0,619
31,6.0,620
32,8.0,592
32,7.5,621
32,7.0,622
32,6.5,623
32,6.25,624
32,6.0,146
32,6.0,132
32,6.0,625
32,6.0,169
32,6.0,341
32,6.0,629
32,5.0,631
33,8.1,371
33,8.0,632
33,7.5,634
33,6.0,637
33,6.0,84
33,5.3,640
33,4.5,644
33,4.0,646
34,7.0,648
34,7.0,649
34,7.0,650
34,6.6,651
34,6.6,652
34,6.0,653
34,6.0,581
34,6.0,654
34,6.0,655
34,6.0,148
34,5.0,656
35,9.0,658
35,7.5,661
35,7.0,662
35,7.0,664
35,7.0,668
59,7.0,669
59,7.0,670
59,6.5,671
59,6.0,625
59,6.0,672
59,5.5,673
59,5.0,674
59,5.0,675
36,9.0,677
36,9.0,679
36,9.0,680
36,9.0,681
36,8.0,683
36,8.0,684
36,8.0,685
37,10.0,686
37,7.5,687
37,7.0,688
37,6.5,690
37,6.0,692
37,6.0,693
37,6.0,694
37,5.5,70
37,5.0,696
38,9.0,697
38,8.0,699
38,8.0,700
38,8.0,701
38,8.0,702
38,7.5,703
38,7.5,632
38,7.5,704
38,7.0,705
38,7.0,707
38,7.0,708
39,9.0,709
39,8.0,710
39,8.0,712
39,7.0,713
39,6.0,714
60,7.0,717
60,7.0,718
60,7.0,713
60,6.76,719
60,6.0,720
60,6.0,721
60,5.0,54
60,5.0,722
40,6.5,724
40,6.0,725
40,6.0,728
40,6.0,729
40,5.5,730
40,5.5,731
40,5.0,732
40,4.0,0
41,7.0,741
41,7.0,742
42,7.8,743
42,7.0,745
42,7.0,148
42,6.0,747
42,6.0,748
42,6.0,750
43,7.0,752
43,6.5,753
43,6.0,754
43,6.0,755
43,4.0,757
44,9.0,758
44,8.0,759
44,8.0,760
44,7.0,762
44,7.0,763
44,7.0,559
44,7.0,406
44,7.0,764
44,6.5,765
44,6.0,766
45,9.9,767
45,8.0,413
45,8.0,768
45,8.0,769
45,7.0,771
45,7.0,772
45,6.5,570
45,6.25,773
45,6.0,774
45,6.0,776
45,6.0,325
45,6.0,267
46,6.5,778
46,6.0,779
46,5.0,782
46,4.0,785
46,4.0,786
46,3.0,787
47,8.0,789
47,8.0,790
47,7.5,791
47,7.0,792
47,7.0,730
47,6.8,166
47,6.1,794
47,6.0,795
61,10.0,796
61,8.0,798
61,6.0,379
61,6.0,800
61,6.0,801
61,6.0,713
61,6.0,803
61,3.0,804
48,8.5,806
48,7.5,807
48,7.0,810
48,7.0,174
48,7.0,811
48,6.1,812
48,6.0,813
48,5.0,815
49,8.0,565
49,8.0,816
49,8.0,817
49,8.0,158
49,7.0,703
49,7.0,819
49,7.0,820
49,7.0,821
49,6.5,36
49,6.5,822
49,6.0,37
49,6.0,133
50,9.0,825
50,8.0,826
50,8.0,827
50,8.0,829
50,7.5,830
50,7.0,832
50,6.0,836
62,10.0,837
62,8.0,840
62,1.0,842
62,1.0,843
62,1.0,844
62,1.0,845
62,1.0,846
62,1.0,847
62,1.0,849
62,1.0,850
51,9.0,851
51,8.0,852
51,8.0,853
