group_members,recommendations
"[4192, 524, 4350, 3657]","[21955, 126000, 238393, 15827, 180241, 39336, 295564, 57998, 15235, 181819]"
"[1994, 5030, 7610, 2944]","[21955, 126000, 295564, 15827, 238393, 180241, 15235, 39336, 57998, 181819]"
"[1344, 6122, 3652, 2695]","[21955, 15827, 295564, 126000, 238393, 39336, 15235, 57998, 180241, 181819]"
"[3180, 6144, 7194, 4787]","[21955, 126000, 295564, 15827, 238393, 15235, 180241, 39336, 181819, 57998]"
"[376, 1330, 6133, 1049]","[21955, 126000, 238393, 295564, 15235, 39336, 15827, 180241, 181819, 57998]"
"[6083, 7723, 5030, 495]","[21955, 126000, 295564, 15827, 180241, 238393, 39336, 15235, 181819, 57998]"
"[2953, 4072, 143, 7008]","[21955, 15827, 126000, 295564, 180241, 39336, 57998, 238393, 15235, 181819]"
"[5220, 3979, 1020, 4483]","[21955, 126000, 15827, 238393, 295564, 15235, 180241, 39336, 181819, 57998]"
"[2645, 2208, 5299, 3440]","[21955, 126000, 15827, 295564, 238393, 180241, 15235, 39336, 57998, 181819]"
"[338, 5570, 2259, 5363]","[21955, 180241, 295564, 15827, 238393, 126000, 39336, 15235, 181819, 57998]"
"[4320, 6785, 3088, 4613]","[21955, 126000, 15827, 238393, 295564, 180241, 39336, 57998, 15235, 181819]"
"[2078, 2220, 3834, 717]","[21955, 15827, 126000, 295564, 180241, 238393, 39336, 15235, 57998, 181819]"
"[5080, 3775, 698, 193]","[21955, 15827, 126000, 295564, 180241, 238393, 39336, 15235, 57998, 181819]"
"[274, 3342, 1165, 2822]","[21955, 15827, 295564, 238393, 126000, 39336, 15235, 181819, 149809, 57998]"
"[6479, 568, 3490, 3499]","[21955, 238393, 126000, 295564, 15827, 180241, 39336, 181819, 57998, 15235]"
"[7266, 6385, 4520, 1957]","[21955, 126000, 15827, 295564, 238393, 39336, 180241, 15235, 57998, 181819]"
"[725, 7463, 3980, 1207]","[21955, 126000, 295564, 238393, 15827, 39336, 15235, 57998, 181819, 180241]"
"[2183, 3145, 1010, 6281]","[21955, 15827, 295564, 180241, 126000, 238393, 39336, 57998, 181819, 15235]"
"[3427, 235, 1010, 3019]","[21955, 15827, 295564, 126000, 238393, 15235, 57998, 39336, 180241, 181819]"
"[5806, 822, 2826, 2255]","[21955, 126000, 15827, 57998, 39336, 295564, 238393, 15235, 181819, 180241]"
"[484, 4809, 1161, 4557]","[21955, 126000, 15827, 295564, 238393, 180241, 39336, 15235, 57998, 181819]"
"[2286, 6316, 2031, 565]","[21955, 126000, 295564, 238393, 15827, 15235, 180241, 39336, 57998, 181819]"
"[1948, 4297, 1414, 1572]","[21955, 126000, 15827, 180241, 238393, 295564, 39336, 57998, 181819, 15235]"
"[931, 2996, 3082, 6055]","[21955, 126000, 15827, 295564, 180241, 238393, 39336, 57998, 181819, 15235]"
"[1456, 813, 1240, 2736]","[21955, 126000, 295564, 238393, 15827, 15235, 39336, 180241, 57998, 181819]"
"[3499, 681, 4617, 4484]","[21955, 15827, 126000, 295564, 180241, 238393, 15235, 57998, 39336, 181819]"
"[4634, 5292, 7156, 4230]","[21955, 126000, 295564, 238393, 15827, 39336, 180241, 57998, 181819, 149809]"
"[946, 7327, 3181, 3034]","[21955, 15827, 126000, 295564, 238393, 180241, 57998, 15235, 39336, 181819]"
"[6486, 7061, 309, 3892]","[21955, 180241, 15827, 295564, 238393, 126000, 39336, 57998, 181819, 339263]"
"[2254, 3727, 2058, 699]","[21955, 126000, 15827, 295564, 238393, 180241, 39336, 15235, 57998, 181819]"
"[5326, 6592, 4382, 3397]","[21955, 15235, 126000, 238393, 39336, 15827, 295564, 180241, 57998, 318359]"
"[7782, 5243, 2529, 5041]","[21955, 126000, 15827, 238393, 295564, 39336, 180241, 57998, 15235, 181819]"
"[5084, 403, 5984, 7332]","[21955, 126000, 15827, 295564, 238393, 180241, 39336, 181819, 57998, 15235]"
"[642, 2885, 1860, 4724]","[21955, 126000, 15827, 180241, 295564, 15235, 238393, 39336, 57998, 181819]"
"[4966, 7174, 1750, 433]","[21955, 126000, 295564, 15827, 238393, 180241, 39336, 57998, 15235, 181819]"
"[5987, 708, 4887, 3290]","[21955, 180241, 126000, 15827, 295564, 238393, 39336, 57998, 181819, 15235]"
"[7862, 5100, 1291, 5292]","[21955, 180241, 15827, 295564, 238393, 126000, 39336, 181819, 149809, 57998]"
"[5042, 2444, 3879, 7169]","[21955, 295564, 238393, 15827, 126000, 180241, 39336, 15235, 57998, 181819]"
"[5787, 6432, 7174, 374]","[21955, 126000, 15827, 295564, 238393, 15235, 180241, 39336, 57998, 181819]"
"[539, 1482, 1479, 1198]","[21955, 126000, 15827, 295564, 238393, 15235, 39336, 181819, 180241, 57998]"
"[3973, 166, 3592, 3774]","[21955, 126000, 238393, 15827, 295564, 15235, 180241, 39336, 57998, 181819]"
"[2260, 2522, 4123, 3345]","[21955, 126000, 180241, 295564, 39336, 238393, 181819, 57998, 15827, 15235]"
"[2722, 712, 6897, 3352]","[21955, 126000, 295564, 15827, 238393, 180241, 15235, 39336, 57998, 181819]"
"[1561, 885, 7614, 7168]","[21955, 180241, 15827, 126000, 238393, 181819, 39336, 295564, 15235, 149809]"
"[600, 1762, 3249, 7123]","[15827, 21955, 126000, 295564, 238393, 180241, 39336, 181819, 57998, 15235]"
"[6018, 96, 2273, 6902]","[21955, 126000, 295564, 238393, 15827, 180241, 39336, 15235, 57998, 181819]"
