"group_members","recommendations"
"[3109, 3231, 1816, 7816]","[279613, 274428, 263996, 213497, 6866, 55952, 99308, 144506, 99392, 166071]"
"[2591, 2157, 658, 7808]","[279613, 274428, 263996, 213497, 55952, 6866, 99308, 63170, 166071, 3475]"
"[6661, 1989, 2111, 7327]","[279613, 263996, 274428, 55952, 213497, 6866, 166071, 99308, 99392, 63170]"
"[7547, 7050, 4954, 6941]","[279613, 274428, 63170, 263996, 6866, 55952, 213497, 99308, 144506, 166071]"
"[6661, 2111, 7327, 1989]","[279613, 263996, 274428, 55952, 213497, 6866, 166071, 99308, 99392, 63170]"
"[7327, 1989, 6661, 2111]","[263996, 279613, 55952, 274428, 213497, 6866, 166071, 99308, 99392, 63170]"
"[3109, 3231, 1816, 7816]","[279613, 274428, 263996, 213497, 6866, 55952, 99308, 144506, 99392, 166071]"
"[7394, 7547, 7050, 3100]","[274428, 55952, 213497, 263996, 6866, 63170, 99308, 279613, 144506, 166071]"
"[4954, 7394, 7050, 7547]","[274428, 213497, 263996, 6866, 55952, 63170, 279613, 99308, 166071, 144506]"
"[7808, 2591, 2436, 2157]","[279613, 274428, 213497, 99308, 263996, 6866, 166071, 55952, 63170, 144506]"
"[3100, 7050, 7547, 7394]","[55952, 263996, 274428, 6866, 213497, 99308, 279613, 144506, 63170, 166071]"
"[7547, 7050, 5844, 7394]","[274428, 263996, 6866, 55952, 213497, 279613, 99308, 63170, 144506, 166071]"
"[5965, 5844, 7050, 6941]","[279613, 274428, 263996, 213497, 6866, 55952, 166071, 63170, 99308, 144506]"
"[1816, 7816, 3231, 3109]","[279613, 263996, 274428, 6866, 213497, 55952, 99392, 144506, 99308, 166071]"
"[5965, 5844, 7547, 7050]","[279613, 274428, 263996, 213497, 6866, 55952, 144506, 63170, 99308, 166071]"
"[658, 2157, 2591, 7808]","[99308, 279613, 274428, 213497, 6866, 55952, 263996, 63170, 166071, 3475]"
"[658, 2436, 2157, 2591]","[99308, 279613, 274428, 213497, 6866, 263996, 166071, 55952, 63170, 3475]"
"[1989, 7327, 6661, 2111]","[279613, 263996, 274428, 55952, 213497, 6866, 99308, 166071, 63170, 99392]"
"[6851, 3501, 290, 4580]","[55952, 279613, 274428, 263996, 213497, 99308, 6866, 166071, 63170, 144506]"
"[2591, 7808, 658, 2157]","[279613, 274428, 263996, 213497, 55952, 6866, 99308, 63170, 166071, 3475]"
"[6941, 7050, 5844, 4954]","[279613, 263996, 274428, 213497, 6866, 55952, 166071, 99308, 99392, 63170]"
"[658, 2157, 2436, 2591]","[99308, 279613, 274428, 213497, 6866, 263996, 166071, 55952, 63170, 3475]"
"[3109, 1816, 3231, 7816]","[279613, 274428, 263996, 213497, 6866, 55952, 99308, 144506, 99392, 166071]"
"[290, 6851, 4580, 3501]","[279613, 263996, 274428, 213497, 6866, 55952, 99308, 166071, 63170, 144506]"
"[7808, 2591, 658, 2157]","[279613, 274428, 213497, 99308, 263996, 55952, 63170, 6866, 166071, 3475]"
"[2157, 2436, 658, 2591]","[279613, 263996, 274428, 213497, 6866, 166071, 99308, 55952, 63170, 99392]"
"[2111, 1989, 6661, 7327]","[279613, 274428, 263996, 213497, 6866, 99308, 55952, 166071, 63170, 99392]"
"[2111, 7327, 6661, 1989]","[279613, 274428, 263996, 213497, 6866, 99308, 55952, 166071, 63170, 99392]"
"[290, 6851, 3501, 4580]","[279613, 263996, 274428, 213497, 6866, 55952, 99308, 166071, 63170, 144506]"
"[2111, 7327, 1989, 6661]","[279613, 274428, 263996, 213497, 6866, 99308, 55952, 166071, 63170, 99392]"
"[2591, 2436, 658, 2157]","[279613, 274428, 263996, 213497, 6866, 99308, 166071, 55952, 63170, 3475]"
"[1816, 3231, 3109, 7816]","[279613, 263996, 274428, 6866, 213497, 55952, 99392, 144506, 99308, 166071]"
"[3109, 1816, 7816, 3231]","[279613, 274428, 263996, 213497, 6866, 55952, 99308, 144506, 99392, 166071]"
"[7394, 5844, 7050, 6941]","[274428, 55952, 213497, 263996, 6866, 166071, 99392, 63170, 99308, 279613]"
"[2111, 1989, 7327, 6661]","[279613, 274428, 263996, 213497, 6866, 99308, 55952, 166071, 63170, 99392]"
"[290, 3501, 6851, 4580]","[279613, 263996, 274428, 213497, 6866, 55952, 99308, 166071, 63170, 144506]"
