group_size,group_similarity,group_members,avg_similarity
4,random,"[689, 2615, 7420, 1037]",-0.0012406947890818791
4,random,"[11812, 7553, 3087, 4630]",-0.0012406947890818926
4,random,"[6920, 7381, 1709, 13766]",-0.001424226351406498
4,random,"[1973, 6178, 1662, 5248]",-0.0012406947890818902
4,random,"[5663, 13619, 6647, 3585]",-0.0012406947890818954
4,random,"[1337, 11559, 4628, 11]",-0.001491400332605678
4,random,"[8920, 11618, 11984, 9652]",-0.0012406947890818817
4,random,"[13668, 4203, 5822, 1305]",-0.0012406947890818906
4,random,"[6166, 1182, 12107, 8721]",-0.0014811074850866158
4,random,"[5109, 676, 13477, 1606]",-0.001777145842469143
4,random,"[65, 5815, 5597, 1023]",-0.0014981958332918029
4,random,"[5917, 11967, 9724, 7410]",-0.0014981958332917864
4,random,"[3485, 8360, 7911, 14781]",-0.0017745551489918717
4,random,"[1542, 14304, 8133, 11904]",-0.001498195833291809
4,random,"[11789, 4518, 4434, 7611]",-0.0014980917063269256
4,random,"[4186, 1859, 4610, 14259]",-0.0012406947890818828
4,random,"[9746, 4504, 52, 519]",-0.0014969794886914214
4,random,"[7966, 10543, 5106, 14435]",-0.0012406947890818878
4,random,"[12364, 4783, 10197, 12849]",-0.0014978368579185034
4,random,"[1954, 14759, 400, 2521]",-0.001240694789081889
4,random,"[10250, 4150, 5695, 5739]",-0.0014530441124416084
4,random,"[13654, 6256, 11284, 1653]",-0.001495959435518024
4,random,"[9178, 1252, 7500, 4196]",-0.0019616095792235476
4,random,"[5460, 11906, 1759, 14285]",-0.0014811074850866162
4,random,"[8510, 11073, 11539, 7546]",-0.002052676097767379
4,random,"[2962, 7887, 14272, 9681]",-0.0012406947890818885
4,random,"[753, 14205, 12427, 9746]",-0.0017771672601178904
4,random,"[4936, 512, 103, 1747]",-0.0012406947890818783
4,random,"[1085, 4427, 4815, 146]",-0.0014756614640923872
4,random,"[10707, 11072, 3082, 5241]",-0.001481107485086612
4,random,"[7221, 3636, 6971, 1797]",-0.0012406947890818815
4,random,"[5769, 281, 3850, 629]",-0.0017794890715459206
4,random,"[11066, 6827, 5690, 1015]",-0.0017866483633252423
4,random,"[766, 2275, 2326, 4136]",-0.001494581789362439
4,random,"[3, 1107, 84, 581]",-0.0014956037222764627
4,random,"[9825, 810, 10120, 4830]",-0.0018538029958012714
4,random,"[918, 9861, 9394, 4088]",0.16537813179709038
4,random,"[5280, 6249, 5586, 2600]",-0.001240694789081892
4,random,"[11967, 1857, 4697, 5729]",-0.0012406947890818856
4,random,"[2187, 1640, 489, 4072]",-0.0014981958332918113
4,random,"[948, 4855, 4889, 7425]",-0.001790730659991589
4,random,"[7254, 3590, 263, 13235]",-0.0012406947890818924
4,random,"[412, 360, 3856, 4487]",-0.0017872116276742977
4,random,"[1438, 8499, 7136, 3251]",0.16540625814896018
4,random,"[13425, 2143, 5237, 3609]",-0.0012406947890818765
4,random,"[3161, 3718, 1276, 2264]",-0.00124069478908188
4,random,"[8458, 4208, 622, 238]",0.06614054494327946
4,random,"[604, 5401, 8301, 394]",-0.0014976730963992496
4,random,"[739, 11011, 14080, 6587]",-0.0012406947890818867
4,random,"[1085, 23, 1579, 13608]",-0.0020083991994246024
4,random,"[885, 7065, 4061, 13046]",-0.0019899319565853547
4,random,"[3511, 7124, 2404, 10224]",-0.0012406947890818724
4,random,"[1634, 6385, 722, 3351]",-0.0014962467231019582
4,random,"[10489, 5323, 4290, 5148]",-0.0014956037222764755
4,random,"[14963, 1254, 11610, 906]",-0.0014962467231019669
4,random,"[8876, 3969, 510, 4229]",0.16563275434243177
4,random,"[10980, 6186, 4752, 1604]",-0.0014981958332917998
4,random,"[4937, 845, 7201, 10036]",-0.0012406947890818735
4,random,"[7034, 9043, 14588, 960]",-0.0016862950783396002
4,random,"[9486, 9690, 4338, 4720]",-0.0014980022383744506
4,random,"[1035, 2840, 1969, 11705]",-0.0014811074850866058
4,random,"[13848, 6808, 7129, 3461]",-0.0017015605122695182
4,random,"[4036, 1157, 2450, 7326]",-0.001498195833291799
4,random,"[1425, 8978, 2686, 5097]",-0.001240694789081875
4,random,"[5094, 7797, 9816, 223]",-0.0012406947890818921
4,random,"[12935, 4084, 1705, 14014]",-0.0014862226902073459
4,random,"[2461, 5025, 13536, 3086]",-0.0012406947890818926
4,random,"[5455, 2075, 3664, 4726]",-0.0017759769899578445
4,random,"[6856, 4331, 6055, 4739]",-0.001497738319497458
4,random,"[7224, 6445, 9519, 9644]",-0.001240694789081884
4,random,"[2960, 12678, 9791, 226]",-0.0017794890715459209
4,random,"[1993, 4673, 9486, 1042]",-0.0019164301531162445
4,random,"[9646, 2993, 10279, 5339]",-0.0016758098910736397
4,random,"[11048, 4298, 13477, 9681]",-0.0014981958332918107
4,random,"[13437, 295, 6750, 4136]",-0.0016905758227933603
4,random,"[3048, 5094, 5499, 2465]",-0.0014966772406632082
4,random,"[31, 4712, 8284, 7157]",-0.0014656075230406911
4,random,"[10190, 12964, 9, 5107]",-0.0014981958332918044
4,random,"[14904, 12354, 1757, 4980]",-0.0012406947890818878
4,random,"[10356, 9237, 10057, 2958]",-0.001495603722276472
4,random,"[9584, 1939, 9995, 554]",-0.0013606892777710622
4,random,"[12049, 10662, 1603, 3746]",-0.001694432613708748
4,random,"[4197, 1207, 1285, 749]",-0.0012406947890818759
4,random,"[3396, 12169, 287, 656]",-0.001240694789081886
4,random,"[9430, 6777, 4008, 11209]",-0.0014976730963992546
4,random,"[8424, 4474, 923, 14207]",-0.0014962467231019894
4,random,"[12940, 230, 4245, 1171]",-0.0014981958332918044
4,random,"[1026, 271, 952, 12507]",-0.0017906393313137836
4,random,"[6473, 4626, 6928, 7467]",-0.001240694789081889
4,random,"[6395, 11367, 1524, 228]",-0.002113469233629378
4,random,"[4423, 4760, 3562, 1767]",-0.0012406947890818859
4,random,"[10956, 2845, 12213, 13253]",-0.0012406947890818817
4,random,"[7717, 461, 9412, 2306]",-0.0023513830026483788
4,random,"[10878, 10980, 3696, 8350]",-0.0014981958332917903
4,random,"[2659, 5172, 507, 8797]",-0.0017901876059810194
4,random,"[6090, 5465, 10879, 8825]",0.0907352402685026
4,random,"[10552, 1067, 4023, 2921]",-0.0015818739635181413
4,random,"[11637, 3696, 1017, 12940]",-0.0016777430299942464
4,random,"[5933, 3325, 99, 11847]",-0.0017913257247963354
4,random,"[940, 7193, 2264, 11248]",-0.001496246723101973
4,random,"[9692, 6736, 6718, 163]",-0.0016961561796203343
4,random,"[788, 12838, 175, 9403]",-0.0012406947890818807
4,random,"[11463, 10674, 6802, 11284]",-0.0012406947890818785
4,random,"[3088, 8301, 2353, 2993]",-0.00244063885227992
4,random,"[4232, 9354, 2811, 10913]",-0.0019451969336806948
4,random,"[12325, 5494, 1534, 151]",-0.0012406947890818902
4,random,"[3034, 3332, 6808, 10108]",-0.002296525601254908
4,random,"[2267, 3886, 1094, 7784]",-0.0017913257247963756
4,random,"[4208, 4839, 9897, 10042]",-0.0012406947890818813
4,random,"[10879, 80, 4433, 9535]",-0.0012406947890818995
4,random,"[2920, 6239, 10043, 8663]",0.16563275434243177
4,random,"[4021, 7717, 10903, 12624]",-0.0020992569912306126
4,random,"[8153, 13841, 2858, 7797]",-0.0012406947890818954
4,random,"[5836, 8427, 327, 9870]",-0.0017834743088737004
4,random,"[543, 1553, 6597, 1426]",-0.0017862397837656368
4,random,"[7057, 5743, 1172, 143]",-0.0014959594355180366
4,random,"[4109, 1923, 8014, 1006]",-0.0014893514220996112
4,random,"[1406, 12240, 3907, 9239]",-0.0020094812735501704
4,random,"[178, 8284, 2140, 6675]",-0.0020111917675254614
4,random,"[9375, 3595, 7197, 9883]",-0.0014962467231019762
4,random,"[7496, 1221, 297, 14255]",-0.0018297903607421221
4,random,"[882, 12064, 11159, 1083]",-0.0014962467231019831
4,random,"[11556, 8879, 5107, 1035]",-0.001240694789081875
4,random,"[2663, 14566, 1120, 12145]",-0.00168151494039003
4,random,"[1696, 2229, 13465, 10707]",-0.0012406947890818826
4,random,"[1670, 554, 789, 11450]",-0.001240694789081889
4,random,"[6744, 12603, 14771, 7131]",-0.0017891069281299873
4,random,"[3955, 6426, 14473, 2533]",-0.0012406947890818854
4,random,"[11787, 1925, 6385, 1882]",-0.0018619124433297688
4,random,"[4673, 5130, 2783, 4576]",0.04800241611958855
4,random,"[11412, 12625, 1195, 9519]",-0.0012406947890818726
4,random,"[11870, 9902, 10918, 683]",-0.0014973513176367384
4,random,"[10765, 1785, 10609, 4464]",-0.0017829854683376657
4,random,"[13465, 7944, 4538, 4436]",-0.0012406947890818796
4,random,"[6621, 6123, 101, 2163]",-0.0012406947890818848
4,random,"[11790, 13196, 1784, 10464]",-0.0016924391213731088
4,random,"[10603, 3613, 6304, 4945]",-0.0014756614640923742
4,random,"[12432, 1670, 3817, 2707]",-0.0014962467231019944
4,random,"[92, 2212, 3557, 4336]",-0.0012406947890818872
4,random,"[2128, 10019, 4247, 1332]",-0.00149624672310198
4,random,"[6914, 275, 4210, 3943]",-0.0014981958332918252
4,random,"[3161, 3229, 407, 5813]",-0.001240694789081881
4,random,"[1661, 4558, 6126, 5836]",-0.0014452239207973048
4,random,"[3112, 4298, 7103, 2941]",-0.0014962467231019788
4,random,"[3357, 8513, 1375, 3857]",-0.0016873415522005598
4,random,"[1543, 12758, 458, 7696]",-0.001497592868382293
4,random,"[324, 4198, 3633, 8109]",-0.0012406947890818898
4,random,"[11111, 6309, 11563, 12350]",-0.0012406947890818852
4,random,"[11413, 9721, 952, 12814]",-0.0016705630222130334
4,random,"[11570, 4872, 2729, 3583]",-0.0012406947890818887
4,random,"[3789, 2655, 11248, 6380]",-0.00178772355925807
4,random,"[609, 9384, 8881, 8298]",-0.0014600736393945693
4,random,"[9239, 1297, 4713, 7645]",-0.001694560001264313
4,random,"[201, 12684, 2830, 6947]",-0.0016747737829172205
4,random,"[9708, 5634, 0, 8994]",-0.0019776280200944902
4,random,"[4511, 8737, 112, 3721]",-0.0012406947890818872
4,random,"[3333, 8138, 7887, 10815]",-0.0012406947890818835
4,random,"[11081, 13982, 4331, 6488]",-0.0012406947890818965
4,random,"[8267, 8510, 4247, 1030]",-0.0022930004099320036
4,random,"[10462, 4521, 14848, 9012]",-0.0012406947890818874
4,random,"[236, 12842, 5104, 3286]",-0.0014901263862305296
4,random,"[2026, 6526, 12907, 10872]",-0.0016428706313948444
4,random,"[4987, 10313, 5260, 6550]",-0.0012406947890818848
4,random,"[2199, 733, 13253, 6957]",-0.0014981958332918055
4,random,"[2288, 12947, 1742, 604]",0.1230106774751853
4,random,"[2544, 14125, 13894, 2882]",-0.0018446673569692167
4,random,"[2193, 2355, 8978, 9430]",-0.0016451868187262297
4,random,"[11481, 10858, 2441, 9492]",-0.0012406947890818887
4,random,"[8530, 11039, 1988, 6822]",-0.001789839086980942
4,random,"[8041, 11463, 8721, 4800]",-0.001481107485086612
4,random,"[7270, 139, 788, 1976]",-0.0018554086759377945
4,random,"[6564, 2128, 412, 510]",-0.0014981958332918096
4,random,"[13046, 2790, 2383, 249]",-0.0017868901728094156
4,random,"[11259, 10480, 7186, 14967]",-0.0012406947890818945
4,random,"[8008, 381, 2334, 7063]",-0.0014962467231019669
4,random,"[10197, 8111, 1857, 3445]",-0.00124069478908189
4,random,"[1759, 968, 10937, 4851]",-0.002306772512988168
4,random,"[8673, 14272, 6916, 1646]",-0.001694432613708775
4,random,"[10565, 6860, 4988, 6383]",0.16563275434242988
4,random,"[2272, 29, 10036, 12829]",-0.001240694789081883
4,random,"[50, 11831, 8663, 4339]",-0.0012406947890818917
4,random,"[14300, 11898, 1243, 10497]",-0.0014976730963992505
4,random,"[4064, 8742, 3325, 8033]",-0.0014981958332918087
4,random,"[12158, 9430, 5260, 2496]",-0.0012406947890818828
4,random,"[13966, 10501, 7522, 2089]",-0.001240694789081888
4,random,"[1230, 6976, 9585, 6223]",-0.0012406947890818908
4,random,"[10143, 5755, 13346, 12146]",-0.0012406947890818921
4,random,"[2511, 8690, 773, 316]",-0.0012406947890818898
4,random,"[3497, 3746, 633, 7887]",-0.00124069478908186
4,random,"[9218, 10363, 1665, 11415]",-0.001495603722276467
4,random,"[11075, 12215, 8298, 4676]",-0.0012406947890819086
4,random,"[434, 11136, 9788, 8353]",-0.001693595870912102
4,random,"[2198, 73, 67, 12975]",-0.0012406947890818924
4,random,"[2826, 812, 6822, 4445]",-0.0017854129986466178
4,random,"[803, 4049, 8795, 4676]",-0.0012406947890818882
4,random,"[2398, 222, 11096, 8142]",-0.0014962467231019923
4,random,"[759, 7455, 2220, 6325]",-0.001240694789081884
4,random,"[13755, 12531, 2699, 10861]",0.08490726451282753
4,random,"[6179, 3913, 1944, 12041]",-0.0020130462536057108
4,random,"[4650, 12154, 823, 5525]",-0.0012406947890818854
4,random,"[3101, 9254, 4719, 1153]",-0.0012406947890818904
4,random,"[10899, 3210, 12166, 73]",0.16563275434243172
4,random,"[10336, 1833, 1946, 853]",-0.0012406947890818822
4,random,"[9841, 146, 2089, 128]",-0.001240694789081885
4,random,"[65, 1505, 8018, 6870]",-0.0012406947890818733
4,random,"[1220, 3290, 2156, 6574]",-0.001491400332605677
4,random,"[2061, 9100, 10199, 13192]",-0.001656356531072774
4,random,"[11062, 4988, 4713, 9097]",-0.0020126174975858774
4,random,"[44, 5604, 782, 527]",-0.0012406947890818848
4,random,"[8957, 5820, 14402, 10609]",-0.0016905758227933603
4,random,"[11310, 5443, 979, 478]",-0.0012406947890818878
4,random,"[5824, 9028, 8109, 3142]",-0.001240694789081903
4,random,"[1744, 3231, 9200, 3936]",-0.002258331371937238
4,random,"[10313, 9147, 4211, 9178]",-0.0012406947890818843
4,random,"[11062, 7053, 722, 4378]",-0.0017870568984922838
4,random,"[12818, 2389, 6028, 11017]",-0.0016626908314746056
4,random,"[8690, 607, 11838, 11011]",-0.001240694789081877
4,random,"[14671, 2735, 13618, 9644]",-0.0012406947890818852
4,random,"[857, 2958, 8442, 6044]",-0.0014976730963992362
4,random,"[4459, 2803, 1984, 1543]",-0.0014981958332918102
