BGGId,Rating,Username
35503,5.0,7500
17405,7.0,143
63628,8.0,4190
4394,6.5,4117
152359,2.0,2189
29687,6.0,983
275557,8.0,6862
110277,6.0,2100
169786,10.0,5438
3181,5.5,6394
31481,7.0,2735
155987,7.0,6392
183394,7.5,7533
163412,7.0,6487
312267,8.0,7539
193927,9.0,3141
79828,9.0,7471
7609,5.0,1743
136063,9.0,3892
2452,5.0,2158
15817,4.0,1742
20963,7.0,5332
34635,7.0,4537
220598,8.0,2930
28720,9.5,1995
155695,5.0,344
31759,10.0,3558
68448,7.0,5948
249259,10.0,2685
22038,6.0,6394
40834,9.0,7813
122522,6.5,2577
2655,7.0,3652
30549,7.0,6128
205059,4.0,1652
811,10.0,7663
286096,8.2,3978
141419,7.0,399
2808,10.0,7226
199223,8.0,1972
121921,9.5,4363
36218,8.0,1814
101721,8.0,361
241451,10.0,5712
167791,8.0,6541
45358,7.5,7814
72,6.0,4715
9564,8.0,420
3985,10.0,4920
11,7.0,7884
135382,9.0,5883
27364,8.0,36
96848,10.0,2685
162580,6.0,2376
8095,7.0,907
170416,7.0,5413
169786,10.0,2654
6350,5.0,541
3208,5.0,4260
1816,6.0,3346
200077,8.0,3011
823,6.0,1434
123540,9.0,957
60,7.0,2627
177096,8.0,1111
12577,5.0,625
181304,6.0,2598
31260,9.0,2832
192343,7.5,3321
54043,8.0,5525
156689,9.0,3595
70919,7.0,7899
183394,8.0,5888
161970,6.0,5703
216094,8.0,7094
770,8.0,541
125153,8.5,7234
770,4.0,112
164865,5.0,3621
121921,7.0,3660
822,7.0,7249
266507,10.0,3680
164928,9.0,6019
131260,8.0,5151
1406,2.0,3061
146418,9.0,1717
300442,7.0,4743
224710,9.0,1434
46396,7.0,3552
184921,8.0,7438
232405,6.5,7234
4390,9.0,7281
2651,5.5,4900
237182,9.0,4922
2281,8.0,3980
8045,5.5,4717
265017,7.0,1361
11170,7.0,6772
269725,7.0,1204
30549,9.0,4477
187645,7.0,6237
147768,7.0,3945
91034,8.0,6456
6830,6.0,660
5895,5.0,7043
244795,5.0,2406
14105,8.0,751
302189,6.0,1956
188834,7.0,3486
269207,7.7,6240
161970,8.0,4408
175155,10.0,2860
699,4.0,264
128882,7.0,2684
188,8.0,7639
150376,7.0,2734
195194,7.0,1740
105024,7.0,5751
236457,8.5,3158
172225,7.0,7216
137269,7.5,622
283355,9.0,1995
84876,7.0,3460
43443,5.0,1408
40692,6.0,5484
144223,7.0,2100
159500,4.0,5484
37046,7.0,1134
302193,6.0,2065
143884,7.0,2619
1265,10.0,1542
29223,7.6,498
124758,6.0,6739
173346,8.5,4988
164,5.4,7230
150376,8.0,4031
97655,6.0,2566
193,6.0,5084
8098,6.0,6643
478,6.0,487
1297,5.0,1846
256065,7.0,7210
822,8.0,4471
10630,9.0,4027
329465,8.0,5165
2655,7.0,6044
183394,8.0,6237
30539,6.5,927
181304,8.0,5616
2163,7.0,7832
160495,9.0,2619
714,5.0,3085
229853,8.0,1190
217372,8.0,1271
12493,7.5,2449
27746,9.0,2591
191862,8.0,5913
265402,9.0,7288
303551,7.5,1265
281259,8.5,5826
263918,6.0,5455
21829,6.0,3568
30645,9.0,7090
5410,10.0,420
108745,8.0,3995
160477,7.5,295
108745,8.5,6767
266524,7.5,501
254591,8.0,5422
41148,7.0,7813
199792,10.0,3370
2921,4.0,5621
147020,10.0,7105
191189,9.0,6658
290484,9.0,6130
274450,7.0,1749
65244,9.0,4233
5243,3.0,1541
292901,6.0,2611
155987,6.0,4571
30381,5.0,3995
187645,7.0,6700
113924,8.0,3177
196340,7.0,5121
174430,9.47778,6897
54,7.9,853
131287,9.0,3028
6541,5.0,641
8203,5.0,2117
194879,10.0,2874
19841,7.0,1599
269385,10.0,3127
139898,7.0,5799
286,7.0,6000
140620,8.0,5684
155827,7.0,3147
2083,4.0,7999
140933,8.0,2828
12346,6.0,7999
36218,10.0,6387
14105,7.0,6381
10793,5.0,420
8098,6.0,1590
1698,4.0,1112
110327,9.0,2710
164153,7.0,7688
219215,7.0,3081
122515,6.5,7727
181687,8.0,477
155802,6.0,3396
230244,7.0,5703
100423,8.0,1560
73439,9.0,702
269725,7.0,7277
10630,9.0,4068
31260,7.0,4685
15987,8.0,5981
14996,9.5,7384
311193,9.0,689
42,8.0,485
191191,7.0,3065
2955,7.0,5457
39351,7.5,6645
1654,7.0,541
31999,8.0,4033
169426,7.0,2637
84876,9.5,2704
103343,8.0,1743
13089,2.0,528
219513,5.0,4715
7501,8.0,5626
12493,8.5,5973
185343,9.0,2154
176396,8.0,4818
176564,7.5,4001
144728,7.0,1295
891,7.0,1574
256877,4.2,7302
199792,9.0,7958
84876,8.0,6223
35677,8.0,1602
7,7.0,4718
190232,10.0,420
6249,6.5,5647
40834,7.0,576
27708,9.0,4195
3955,6.0,2819
31260,8.0,6828
20100,10.0,678
191543,2.0,6943
182028,9.0,918
122515,9.0,7667
98778,8.0,3020
198525,7.5,7571
20100,7.0,959
104006,8.7,4557
38054,7.0,2735
224783,7.5,7302
2285,4.0,755
9209,6.0,2684
244521,7.0,5703
29355,6.0,2121
2250,6.0,4920
132531,9.5,1139
159492,6.0,4279
5890,10.0,420
269385,7.0,5892
104710,6.0,7162
158340,8.0,7851
13,6.0,114
124380,6.0,5019
43443,7.0,399
259066,5.0,4956
30933,7.5,5078
254135,6.0,2406
2318,4.5,7325
217083,7.0,2197
62219,8.0,3907
1275,7.0,2525
2651,9.0,7773
274533,7.5,3288
191300,8.5,87
122522,6.9,965
205046,9.0,1509
188834,7.5,1880
103343,9.0,7482
111341,9.0,3995
759,7.0,6940
463,9.9,4302
13308,7.0,4409
70097,10.0,1410
634,7.5,500
5782,7.0,3124
198525,8.0,2930
173064,7.5,4007
68448,9.0,6471
173346,9.0,5666
155426,7.0,6120
36218,7.0,3000
1038,8.0,6988
199792,10.0,5628
187645,8.0,5141
17133,8.0,3363
77423,5.0,7018
59959,7.0,6935
93194,6.0,4640
2655,8.0,676
230802,8.0,7458
131357,7.25,7471
13,9.0,7044
138161,8.0,2567
18602,10.0,36
74,2.0,4640
2511,8.0,1131
31260,8.0,4632
37441,6.0,5714
136888,7.0,5650
192458,7.5,6115
63888,7.5,7930
261168,8.0,2241
102794,9.5,5645
120677,8.0,5748
217776,7.0,827
237728,6.0,3048
144865,6.0,5258
15889,6.0,5529
148729,8.0,5019
822,7.1,2716
154203,6.0,6923
4221,6.0,7589
193840,8.0,4583
265402,8.0,7346
2127,8.0,6503
249277,9.0,215
225694,8.0,2599
142992,8.0,1919
17223,6.0,7893
2472,6.5,4990
34166,6.0,4497
171668,7.0,7837
134253,6.0,1627
339789,9.0,528
1032,7.3,6310
124708,8.0,6289
42,8.0,5602
163930,7.0,3141
163839,6.5,2611
169786,8.0,6691
102652,7.0,532
280896,7.0,2384
136991,7.0,4504
7457,8.0,5028
183840,7.0,4230
70919,6.0,6171
126042,6.0,6224
224517,9.0,3294
65244,7.0,2424
3955,6.0,5712
12194,8.0,5084
164153,9.0,2682
240843,8.0,1111
26233,7.0,7639
2719,6.0,7911
189062,10.0,584
925,4.0,4227
160499,4.0,4494
247763,7.0,5434
291511,7.0,2930
12005,7.5,498
137297,8.5,6240
6232,6.0,3346
236650,9.0,2423
329086,8.5,164
233015,7.0,5233
25261,7.0,2711
28143,7.0,4394
31479,6.0,6671
18833,10.0,2713
94,6.0,6263
30645,6.0,7140
126163,9.0,6686
82421,9.0,6287
140603,8.0,2735
173442,10.0,6391
4390,8.0,476
2603,7.5,7752
148228,6.5,6184
232043,7.0,7095
24417,2.0,57
3076,10.0,1208
22551,6.0,7234
324602,6.0,143
8203,7.0,5669
131891,6.0,3062
232832,7.75,2404
146439,8.0,6213
187377,6.0,6406
50,7.5,4732
35677,7.0,3181
125046,6.0,4537
41114,6.0,2424
63268,7.0,7004
223321,8.0,138
492,7.0,5203
194655,5.0,4407
143884,7.5,7786
37196,6.0,4812
157354,6.0,6655
4192,5.0,5597
8203,4.0,3634
822,7.0,4738
40692,7.0,2562
18,7.0,4090
8325,10.0,420
30328,9.0,4214
251037,5.0,3026
177736,9.0,1300
73439,8.0,1296
31260,9.0,5767
1426,7.0,1155
2165,6.0,1941
207729,10.0,2824
173090,7.0,6202
96848,7.0,506
466,6.0,6739
129122,9.5,5289
97357,9.0,7470
136991,7.25,7813
23258,6.0,3346
198994,10.0,2312
200077,7.0,2154
40398,7.0,7922
50,7.6,4302
1406,4.0,3298
54137,7.0,4080
215311,7.0,1324
155426,7.5,4254
193738,9.0,1923
77423,9.0,4772
136063,7.0,927
12942,7.5,7285
158899,10.0,6493
120677,7.0,4394
25554,7.5,1332
7805,7.0,6065
108687,8.0,7158
327,9.0,2825
10206,8.0,4591
163967,7.0,2599
13979,6.0,2509
150376,8.0,2942
247436,7.0,1271
1157,6.0,6836
2389,7.0,3447
84876,9.0,5887
245654,7.0,3608
181279,6.0,1970
19999,7.5,522
4390,7.0,4727
258451,7.0,1234
1827,9.0,6534
287954,8.0,6699
164928,8.0,5376
299803,7.0,6441
11901,1.0,129
204583,7.0,3193
3955,6.0,1463
301880,9.0,3535
41,8.0,7209
180974,7.9,629
274637,8.0,961
109291,7.5,7134
214880,5.0,2902
199792,9.0,1195
187645,10.0,4713
206931,8.0,4699
204,7.0,4812
236893,4.0,6671
24935,7.0,2835
77130,7.2,2670
35497,7.0,7064
65244,6.0,7154
126042,9.0,4084
159209,7.0,660
192291,7.5,4193
163602,8.5,2384
35677,7.0,5093
204184,7.0,7318
108745,7.0,6237
133437,2.0,4143
554,7.0,944
135779,6.0,5233
174837,8.0,1300
225694,8.0,7160
24843,8.0,1484
122515,7.5,4352
193738,9.0,3625
37111,7.0,6044
129622,7.0,2983
1295,10.0,1082
68448,9.0,5762
233371,9.0,5553
187645,9.0,1899
115746,9.0,4091
12333,8.5,6162
9805,5.0,2619
31586,8.0,4705
169426,6.0,2996
159675,6.0,2522
197070,7.0,922
98778,8.0,3186
311193,9.0,3647
282954,7.0,1541
2453,8.0,3853
264220,8.0,614
172225,6.0,4630
215841,9.0,5701
248117,5.0,981
19237,6.5,489
153639,7.0,541
205418,8.0,4409
40692,7.0,2792
256382,5.0,1790
1265,5.0,2619
161417,8.0,4492
30549,7.0,3840
18,9.0,983
15062,5.0,7821
302336,7.5,6838
3201,8.0,7409
2136,7.0,5304
199792,8.0,5478
6902,3.0,5440
279254,10.0,3337
9209,7.0,4251
37371,8.0,3960
13,7.0,592
2719,4.0,525
60,8.5,5153
31627,7.0,3065
23953,6.0,1880
12346,5.0,2619
7806,6.0,7574
296912,7.5,5767
176396,8.0,6837
266192,8.0,3952
212402,7.0,4880
223777,9.0,5879
156714,5.0,5105
16216,6.0,4497
157969,7.0,3812
161936,5.0,4621
129622,10.0,4959
92828,10.0,1223
282524,8.0,6828
258451,6.0,360
182028,9.0,3127
122298,6.7,6657
181279,7.0,2636
6819,6.0,791
39339,6.5,6941
185343,10.0,4239
154203,7.0,6263
102652,8.0,6392
123540,9.0,7903
38194,6.0,5416
204027,7.0,7931
155695,7.0,4128
223360,5.0,3619
205398,7.0,3281
69779,8.0,3065
209010,5.0,3029
269144,7.0,2406
73439,8.0,3985
39463,9.0,6072
193738,8.5,3756
103649,6.0,3647
193739,6.0,346
266192,9.0,3875
2456,5.0,2406
150783,7.0,2371
28306,8.0,90
3076,9.0,2378
271324,9.0,7387
146312,5.5,4631
4174,8.0,2344
1261,7.5,2902
16366,7.0,127
59946,7.0,1389
171273,6.0,649
394,7.0,541
1465,6.0,230
40235,6.5,3363
37904,6.0,2100
286735,2.0,5484
4792,4.0,4279
4143,4.5,541
37120,6.0,7281
192135,10.0,1899
171,7.0,5919
2223,5.0,6301
1198,7.0,7132
40834,8.0,7419
171,10.0,1326
117915,7.5,5250
266507,10.0,4627
92319,6.0,1253
277597,9.0,2117
37046,8.5,3079
21149,6.0,2522
204583,7.0,1692
222407,9.0,3020
20806,7.0,4303
259081,8.4,1539
172287,9.0,5065
343905,8.0,2334
148949,8.5,3238
8633,5.0,3288
169786,9.0,4294
63268,8.0,2599
7865,7.5,6941
118063,8.0,2643
35677,9.0,1097
181345,6.5,4504
191095,8.0,3158
891,4.0,7419
41,9.0,1784
128011,7.4,1652
154880,7.0,2345
94246,5.0,1743
6386,7.0,2355
168788,7.0,7371
16366,7.0,3346
129945,4.0,660
221965,9.0,4989
178900,9.0,2371
2651,6.0,2158
132799,6.0,2970
129622,7.5,6785
205637,9.0,1725
265402,8.8,7747
127023,7.0,7821
533,4.0,1027
265256,8.0,7571
195856,6.0,3588
98778,7.0,3910
915,7.0,1269
316180,10.0,6796
178900,8.5,312
12002,7.0,3568
40793,6.0,6357
17396,10.0,6431
23981,4.0,6249
256916,9.0,2332
559,7.0,7922
2165,7.0,6213
132018,8.0,6988
43015,7.5,6613
217776,8.0,787
24508,7.0,2258
187653,8.0,6686
204583,8.0,5214
96848,9.5,4339
164928,10.0,6804
83195,5.5,4230
70512,7.3,5239
252153,8.0,4580
107529,6.0,7234
172546,6.0,5559
111,6.0,2566
179275,8.0,3158
131357,7.0,4518
47185,6.0,1268
112,8.0,3907
121921,9.0,3398
148951,8.0,7944
173346,6.0,2060
254189,6.5,6711
251658,7.0,2148
36218,7.0,4772
156689,10.0,1309
103885,6.0,6441
159508,5.0,4367
193738,9.0,6193
111732,6.0,7688
17226,7.0,4196
2386,6.0,2406
102548,7.0,2517
245654,8.0,4052
148040,6.0,4856
191977,8.0,6280
316857,7.5,1306
198773,7.2,965
271324,8.0,605
144553,9.0,5050
124742,8.0,802
20100,8.3,2489
157969,4.0,7992
194655,10.0,118
145601,5.0,4674
68448,7.5,7050
172542,6.0,3621
146886,7.0,2681
172225,10.0,6673
85256,7.0,5237
181304,7.0,4210
68448,8.0,6718
22141,9.0,5701
244271,8.0,6370
227789,8.0,4004
131357,9.0,7058
65244,7.0,4460
16443,8.0,2291
23404,6.0,5492
70323,9.0,3072
27970,3.0,7255
70323,8.5,1801
26997,7.5,3054
110277,8.0,1996
167764,3.5,2112
129622,7.0,2108
12267,5.0,1156
150999,10.0,6796
262712,7.5,2593
24742,7.0,2643
466,7.0,3647
96188,3.0,660
184491,6.0,1694
248117,5.0,2807
188834,8.0,4747
760,6.5,1058
54043,5.0,3029
161866,6.0,2406
104006,6.0,7533
15,6.0,4110
147020,7.0,4973
68448,8.0,5012
24270,8.0,2445
31260,7.5,570
171,5.0,4107
9560,6.0,2566
224517,10.0,456
105037,7.1,2123
146508,6.7,1674
210271,10.0,7066
77423,10.0,5001
96152,9.0,5649
234948,7.0,4932
187645,8.5,6516
3243,7.0,906
198609,8.0,7581
4753,7.0,1155
192291,7.0,1652
155703,8.0,5587
234120,6.0,5703
317311,9.0,508
526,6.0,4352
262215,7.0,7260
155426,5.0,834
124361,7.0,4957
6830,9.0,6492
320,4.0,5440
475,6.0,2599
157403,7.0,6963
207336,5.0,7233
528,8.0,5153
182189,7.0,4078
98778,6.5,7471
3706,5.0,7543
24480,7.0,2981
155624,8.0,2634
154875,9.0,7276
285792,7.0,2611
255696,4.0,5434
13728,8.0,541
6249,10.0,7340
163976,5.0,6708
2655,7.5,2536
188834,7.0,6406
25967,7.0,6190
392,6.0,1629
34635,9.0,2561
205637,7.0,264
172033,6.0,493
9028,6.25,6326
183394,7.0,5789
173346,7.0,4326
24157,3.0,2219
17710,6.0,7323
164928,8.0,1289
168770,5.0,2197
37111,8.0,7494
22465,6.0,5492
41114,8.0,7986
218025,4.0,7277
167791,9.0,3044
145189,7.0,405
148228,7.0,2536
222885,5.0,5884
163642,5.0,6406
220877,8.0,5084
124224,8.0,2137
71593,7.0,1155
271869,7.0,1883
71721,8.0,6487
382,9.0,528
205057,7.0,3065
157354,7.0,1899
66587,7.0,1981
7480,5.0,143
163097,9.0,2522
27848,9.0,5341
68448,9.0,4323
71655,6.0,1954
1269,4.0,279
284083,6.5,7754
267568,5.5,2668
172081,8.0,3079
172220,7.0,4824
36218,4.0,2611
284083,10.0,7218
822,5.0,220
96713,6.5,3029
483,7.0,1806
232405,6.0,1036
54998,7.0,5492
128667,6.0,7786
264241,8.0,3561
68425,7.5,2616
24068,4.0,6708
233867,7.0,2384
42776,10.0,1656
3076,7.0,2619
29368,7.0,3891
1439,8.0,7021
161926,7.0,1541
161936,10.0,4580
33160,7.5,2489
171890,7.0,6981
195571,9.0,4763
283155,8.0,4083
283948,8.5,3935
180040,7.0,2682
18931,6.0,6091
2640,10.0,787
163412,8.0,4047
246960,7.0,2461
159504,8.0,1087
5,7.0,944
68448,6.75,7325
41627,6.0,3020
294484,7.3,965
270133,9.0,1306
171623,7.0,7298
175324,6.75,2404
35964,7.0,7281
144761,7.7,4818
7866,7.0,806
203430,5.0,7639
13,6.0,4532
191657,10.0,7047
74,3.0,1408
915,8.0,397
209685,9.0,7747
699,9.0,2271
121921,6.0,5714
131287,7.0,4497
203420,7.0,6240
249404,6.75,501
153064,7.0,6941
13,7.6,5569
811,6.0,702
65611,7.0,2711
148228,8.0,2294
822,9.0,4072
28720,9.0,1832
4141,6.5,541
224517,10.0,1008
1315,2.0,2096
211534,5.0,1561
35505,7.0,6888
154203,9.0,5524
114667,7.5,6602
136063,7.0,5100
483,5.0,264
271896,10.0,5557
291457,10.0,4021
160499,5.0,5434
264055,7.0,2606
265785,6.0,2902
181521,7.0,7183
238041,8.0,7805
209418,8.0,4039
1687,7.0,4990
15987,9.0,6119
137776,7.5,6516
177736,8.0,3357
147020,8.0,2306
41474,6.0,5258
193037,9.0,787
5576,5.0,3738
37111,7.0,1548
244522,7.0,3974
36218,8.0,7871
225694,7.0,1749
1465,8.0,4394
181810,6.0,5714
194655,7.5,5298
180899,7.5,1226
2083,5.0,2857
217099,10.0,1526
35677,9.0,702
129622,7.5,5769
182189,6.0,6516
35570,9.0,4702
29368,9.0,2957
4970,7.0,7841
1219,5.0,1880
176013,5.0,2938
28143,9.0,3064
14996,8.0,3850
62871,7.0,2619
340466,8.0,5203
3874,4.0,1941
21790,5.0,1531
251247,10.0,5948
157403,7.0,2423
269537,7.5,7277
68448,9.0,813
33643,8.0,4261
18602,9.0,3647
32365,5.0,2509
12495,7.0,5553
224783,8.0,2334
269385,6.0,5643
128996,8.5,6179
206051,8.0,980
123540,7.5,780
113924,7.0,6344
121,10.0,1548
188,9.5,1631
134777,2.0,3963
175223,8.0,4258
1833,6.0,7830
290359,7.0,1286
199792,10.0,2137
22545,5.0,1490
246228,5.0,2591
279198,8.0,4912
216132,7.0,3960
19,6.0,3568
55690,9.0,3949
65611,6.0,4439
825,6.5,541
18127,6.0,4497
137332,6.0,3144
173346,6.0,1970
54625,5.0,6208
259121,7.0,2522
168998,7.0,4071
42743,6.5,5332
280136,7.0,3741
1674,5.0,1929
160069,8.5,5892
183251,7.5,6645
120605,8.0,821
146278,6.0,3029
245643,8.0,1895
27588,6.0,702
50750,7.5,4557
394,7.0,2604
94958,5.0,5478
183394,9.0,5602
98778,6.5,2105
110327,7.0,5416
181377,8.0,1522
463,6.0,7818
206718,7.5,5884
150376,9.0,587
21293,4.0,2097
13,8.0,2542
175755,5.0,4942
156843,7.0,2522
